TICID,RA,Dec,Tmag,Keywords
1047023194,205.5513,-52.1526,18.63,G08088
243394576,205.1462,-43.0875,16.72,G08088
312410735,210.4445,-50.2228,15.89,G08088
1154703833,222.2416,-48.0882,17.36,G08088
1154953635,220.4869,-47.4389,18.26,G08088
122051630,226.8386,-39.1822,18.14,G08088
124568633,199.415,-30.012,14.91,G08088;G08036;20SECONDTARGET
124692823,200.3743,-31.686,16.5,G08088
997063224,195.3349,-41.601,17.7,G08088
997198285,197.7361,-40.3454,18.16,G08088
998982333,198.7605,-30.0774,19.87,G08088
1008171775,213.3585,-69.7889,19.64,G08088
1105359763,234.3479,-73.8684,20.2,G08088
1111519224,230.5468,-65.2522,18.72,G08088
1122424855,222.3065,-65.4683,18.06,G08088
1122932735,220.1942,-63.7667,18.13,G08088
1123223292,226.5823,-65.0587,18.24,G08088
360275913,217.4991,-67.2458,16.17,G08088;20SECONDTARGET
361568103,243.3053,-71.0216,18.82,G08088
429510172,207.4367,-68.9774,16.79,G08088
456449221,231.8403,-63.7959,18.72,G08088
1116116332,238.1103,-60.9797,18.69,G08088
1135542818,233.6755,-59.6029,16.41,G08088
1213178288,241.05,-60.6128,17.5,G08088
1215379696,243.7564,-57.7107,19.96,G08088
1226980756,241.4826,-55.1419,19.37,G08088
1314590941,259.4808,-58.1043,19.12,G08088
208110884,244.2798,-56.4555,17.83,G08088
343035916,240.6396,-60.5473,17.55,G08088
447448883,252.6809,-64.2372,15.57,G08088;20SECONDTARGET
1043202924,218.5435,-50.0279,18.23,G08088
1134524773,224.8488,-56.2348,17.62,G08088
1134546895,224.8686,-56.0085,20.33,G08088
1138230720,233.1895,-55.2174,19.57,G08088
1140988333,231.6852,-54.0146,17.62,G08088
1142703367,228.6537,-53.3279,18.19,G08088
1143228115,228.7701,-52.6037,16.86,G08088
1144127305,231.4921,-52.3409,19.97,G08088
1150352346,224.0026,-53.3053,19.09,G08088
1156756406,236.8548,-50.8203,19.52,G08088
1165167388,231.588,-46.8534,18.64,G08088
190148055,235.2153,-49.952,16.16,G08088;G08146
190709664,235.7798,-51.6101,16.0,G08088
250395153,223.8384,-52.8848,18.58,G08088
267232611,236.2942,-48.966,19.36,G08088
270599600,236.8065,-48.8876,16.18,G08088
277201444,237.5562,-51.264,16.32,G08088
290139833,239.0087,-52.267,16.32,G08088
414447536,232.5571,-54.9207,17.94,G08088
1021022453,213.666,-62.165,20.07,G08088
1021070736,215.8124,-61.4279,18.37,G08088
1021098857,214.6655,-61.1918,20.51,G08088
1025494015,203.7884,-63.9103,19.03,G08088
1027247023,209.8621,-62.6775,16.27,G08088
1027691209,212.8022,-60.6156,18.99,G08088
1027892192,208.6502,-61.0428,19.87,G08088
1029025705,212.9888,-57.9953,18.69,G08088
1029483523,202.7713,-61.5699,17.99,G08088
1030334118,203.2445,-60.2121,18.46,G08088
1034919592,207.4708,-57.3533,17.63,G08088
1035122395,205.0829,-57.5425,18.26,G08088
1036787264,217.7944,-60.9908,20.02,G08088
1037657155,216.0566,-57.914,18.93,G08088
1039740967,219.1208,-55.5296,16.47,G08088
1040889374,212.9485,-55.0116,20.12,G08088
315941906,203.2858,-60.1741,15.89,G08088
409952023,213.8879,-57.9329,13.83,G08088
411603422,218.9688,-57.6265,15.98,G08088
1311815276,258.1107,-64.2824,18.54,G08088
1509235076,268.9376,-70.7762,17.31,G08088
1205237009,241.1594,-79.3666,20.32,G08088
1205248046,242.3319,-79.1802,18.54,G08088;G08036
1205258680,246.2538,-78.7666,19.3,G08088
1509081130,265.9397,-72.8858,18.93,G08088
1688358993,274.7702,-74.6899,19.69,G08088
1816173898,286.2479,-65.4084,18.66,G08088
1816332953,289.0404,-62.5977,19.93,G08088
1816424414,285.3388,-62.4679,19.46,G08088
1922424712,297.0207,-68.4532,19.84,G08088
1922444915,295.7326,-67.4571,18.82,G08088
1922711479,298.0426,-61.6845,20.28,G08088
1922762427,298.2971,-60.6462,18.76,G08088;G08036
1988296427,300.6793,-70.3081,19.51,G08088
1988297501,300.1864,-70.1677,20.25,G08088
1988655556,300.6567,-62.1996,19.77,G08088
339269863,294.8965,-64.3655,16.52,G08088
466167253,299.1998,-60.5753,16.34,G08088;G08036;G08146
466238399,304.137,-64.2203,17.16,G08088
2026629942,324.9508,-59.9927,16.58,G08088;G08036
2026653274,332.5754,-59.2169,19.31,G08088
2026812533,327.7177,-55.4467,19.29,G08088
403268270,331.3312,-60.2068,17.57,G08088;G08036;G08079
2026236442,325.2538,-70.37,20.01,G08088
327669904,329.9771,-68.8437,16.73,G08088
327915196,1.6405,-69.0094,14.89,G08088;G08036;G08158
412064070,0.4798,-67.1287,14.33,G08036;G08088;G08158
2055173314,348.8294,-59.175,19.08,G08088;G08062
2055219466,355.9091,-58.8798,19.46,G08088;G08036;G08079
616114021,1.8099,-53.6514,18.87,G08088
