TICID,RA,Dec,Tmag,Keywords
166447153,207.3759,-41.6879,2.27,G08017
241398115,204.9717,-53.4665,7.93,G08017
242245522,211.6557,-43.4622,10.47,G08017
243453366,205.7893,-47.8057,10.45,G08017
359762838,209.5675,-42.1009,4.07,G08017;20SECONDTARGET
359916090,209.6695,-44.8037,4.1,G08017
438719190,201.3008,-51.8418,7.98,G08017
122455778,227.7864,-39.8643,9.73,G08017
127025883,216.5341,-45.2215,4.75,G08017
129117325,220.4822,-47.3883,7.75,G08017;G08158
159932751,221.6073,-37.2223,8.27,G08017
333947284,224.6328,-43.1341,2.93,G08017
333950446,224.7902,-42.1044,1.96,G08017
337028799,215.0363,-64.7481,10.47,G08017
343522290,206.3265,-66.7547,7.56,G08017
360371656,217.4126,-70.1223,10.12,G08017
401043278,220.1841,-63.5791,10.02,G08017
401975322,218.7703,-73.5325,10.4,G08017
402555173,220.218,-65.4595,9.65,G08017;G08137
402856068,225.2307,-73.7942,8.53,G08017
448391362,210.4019,-66.1656,12.68,G08017
448594570,211.7563,-68.5688,9.6,G08017
448888783,214.1612,-66.5879,5.86,G08017
448962730,215.1267,-66.1203,9.75,G08017
448964322,215.1934,-66.3224,9.23,G08017
454834333,227.4774,-65.5063,9.63,G08017
454954403,227.8823,-61.1982,10.46,G08017
455359641,228.7761,-62.763,10.79,G08017
456277548,231.1692,-63.6339,9.62,G08017
207505006,243.494,-54.9158,10.47,G08017
217037213,246.0139,-53.8121,10.15,G08017
221451009,248.1587,-59.0895,10.28,G08017
271610589,233.1056,-60.5352,9.64,G08017
279404964,235.4859,-58.0508,11.02,G08017
284374921,233.2271,-59.8073,9.41,G08017
315506577,244.7648,-52.4304,8.9,G08017
316856623,245.0946,-52.4033,8.5,G08017
340878553,238.441,-61.664,9.72,G08017
343376897,240.8939,-60.4403,10.96,G08017
4030832,246.1889,-53.4644,9.11,G08017
409623784,243.5068,-53.7619,10.9,G08017
410519525,243.8601,-52.9207,8.6,G08017
427406031,241.0666,-56.441,8.94,G08017
447530589,253.405,-61.5865,10.7,G08017
460977279,232.2253,-60.8012,9.3,G08017
68321605,236.2072,-59.1145,10.86,G08017
89162734,239.0999,-57.1823,9.68,G08017
147226597,230.6701,-44.6898,3.36,G08017
189309573,234.2971,-49.2252,9.75,G08017
189561605,234.6566,-51.1453,10.85,G08017
189599637,234.5653,-51.3387,10.23,G08017
189931058,234.94,-51.6356,10.75,G08017
215354826,242.0179,-51.6085,10.79,G08017
272021842,236.9274,-52.756,11.66,G08017
282967608,238.3283,-49.5705,11.5,G08017
292571514,239.3718,-51.036,8.56,G08017
300266747,239.9758,-53.7362,11.41,G08017
38056779,226.2928,-56.7338,10.06,G08017
415625922,223.2975,-54.0317,9.84,G08017
419485210,239.4604,-54.5609,10.1,G08017
42741514,228.8328,-59.2332,8.91,G08017
43460530,228.9084,-59.4012,9.4,G08017
43941112,229.1833,-54.1066,9.45,G08017
44178141,229.4537,-58.5553,11.57,G08017
75703490,237.167,-54.2439,9.73,G08017
78205695,237.3662,-54.292,10.22,G08017
78652307,237.5827,-54.4454,10.11,G08017
189504668,221.071,-59.4851,10.39,G08017
189504782,221.2026,-59.7702,10.0,G08017
190267332,221.2955,-55.6017,6.16,G08017;G08119
191312952,221.6533,-56.419,8.52,G08017
208692486,208.968,-59.3712,7.7,G08017
241692860,208.4294,-53.3735,5.86,G08017;20SECONDTARGET
263422831,216.7863,-59.7365,7.79,G08017
264026227,216.9812,-59.6252,9.88,G08017
264026296,216.9447,-59.6324,7.46,G08017
264026330,216.9889,-59.6355,9.78,G08017
291772616,218.0764,-57.6007,10.52,G08017
292765671,221.6188,-60.7885,9.95,G08017
299953878,208.235,-62.7206,6.13,G08017
299962330,208.2685,-61.9891,10.31,G08017
313959947,202.3866,-61.5935,10.43,G08017;G08137
315798707,203.0358,-60.8154,8.94,G08017
315955586,203.3737,-61.4456,9.31,G08017;G08137
316144493,203.4041,-62.3177,8.7,G08017
319219289,204.8153,-60.9839,8.96,G08017
319228243,204.8067,-61.7042,10.44,G08017;G08137
319376730,204.9169,-63.2786,7.96,G08017;G08137
319991836,205.1257,-61.6083,11.2,G08017;G08137
320297485,205.2284,-62.1044,11.56,G08017
322916880,206.4626,-63.958,7.14,G08017
328063994,210.8041,-62.2607,9.13,G08017;G08137
328329822,210.9558,-60.373,1.67,G08017
331664814,212.6831,-62.479,6.29,G08017
332283910,212.758,-62.1504,12.7,G08017
334438059,213.7719,-61.6531,8.35,G08017
334443373,213.7366,-61.2385,9.36,G08017;G08137
334903224,213.9152,-62.2113,9.49,G08017
337724787,215.562,-62.411,9.55,G08017
34867775,224.589,-59.6592,10.46,G08017
36259885,225.2739,-59.8951,9.21,G08017
380733445,206.973,-60.8822,8.54,G08017
390596947,217.5685,-60.3866,9.99,G08017
397221078,219.1579,-60.9666,7.53,G08017
457400626,206.2963,-58.9629,9.14,G08017
273322167,322.7722,-82.6814,11.21,G08017
352229000,288.5452,-76.6374,10.37,G08017
260820871,348.055,-70.1132,9.06,G08017
469906369,336.8344,-64.9663,4.55,G08017;20SECONDTARGET
262815962,348.2335,-54.1867,8.18,G08017
