# TESS Program G08046

Title: Planets And Stellar Activity Through Time: Understanding The Evolution, Diversity And Habitability Of Planetary Systems

PI: Battley, Matthew - Queen Mary University Of London

Type: SMALL

Summary: Young exoplanets offer unique insights into the formation and evolution processes that form the diverse population of exoplanets known today. We propose to observe 10,140 young stars with 2-min cadence, in order to search for new young exoplanets and characterise the early evolution of stellar flare activity in order to understand its effects on the diversity and habitability of planetary systems. Our sample is drawn from 55 nearby stellar associations, co-moving groups and open clusters with precise ages from 1Myr 3 Gyr, providing a wide overview of exoplanetary evolution over these early epochs. The longer sectors and adjusted pointing of Cycle 8 will allow us to extend the search to longer-period young exoplanets and better characterise the rotational activity of these young stars.


# Sector 097 targets observed (2 min: 858, 20 s: 59)
35650258,23.3412,-1.5115,15.45,G08046
35650410,23.3563,-0.6744,11.68,G08046
35666262,23.7076,-3.8211,14.07,G08046
35704569,23.9962,-3.9548,14.84,G08046
35707104,24.1413,-5.3529,16.12,G08046
369534451,25.9411,2.4683,15.34,G08046
380907845,25.4585,1.3904,14.44,G08046
382325923,29.3614,-6.2473,15.78,G08046
399724949,21.0505,0.8605,13.41,G08046
402025967,25.8028,1.299,13.93,G08046;G08103;G08158
406430078,28.695,-4.7314,11.91,G08046;20SECONDTARGET
406430082,28.6713,-4.7159,11.96,G08119;G08046;G08119
406430692,28.6172,-1.5072,11.16,G08046
422632279,28.6777,2.9026,15.06,G08046
422653412,29.063,0.102,11.03,G08046;G08158
422655451,29.2616,1.2435,15.55,G08046;G08103
422676032,29.6575,2.4539,14.3,G08046
422680202,29.9829,0.4476,12.45,G08046
423387353,28.9891,-2.3971,11.17,G08046
427543467,28.5726,-2.3964,12.44,G08046;20SECONDTARGET
10835890,20.7843,-10.1131,11.03,G08046
212958709,8.8691,-2.8226,13.28,G08046
212963433,9.4684,-3.8385,11.16,G08046;G08137
212979592,9.4947,-4.0032,15.01,G08046
212982939,9.9521,-3.1356,13.86,G08046
213004747,10.1643,-2.8361,12.64,G08046
213010839,10.7383,-5.0165,14.1,G08046
248349373,17.3264,-0.5975,15.43,G08046
248349830,17.2376,-3.0256,12.27,G08046;G08158;G08137
248351163,17.3481,-1.6742,16.37,G08046
248355949,18.036,-0.5205,10.71,G08046
248379725,18.3429,-5.6196,13.69,G08046
248380149,18.3189,-3.2199,16.09,G08046
248386711,19.113,-2.8293,16.57,G08046
248387334,19.2278,-0.3199,13.54,G08046
248393078,19.8403,-1.2839,14.75,G08046
248942339,19.9947,-2.3597,12.59,G08046
248942346,19.9933,-2.3306,8.47,G08046
248944412,20.1477,-1.3163,16.28,G08046
248952247,21.1028,-3.2775,11.17,G08046;G08137
269503904,13.8103,-3.9128,11.32,G08046;G08158
269592384,16.0893,-1.8734,15.45,G08046
269612606,16.3162,-2.0643,15.1,G08046
299099378,21.1026,-8.958,15.69,G08046
299099849,21.2525,-5.9465,6.67,G08102;G08046
299099903,21.3005,-6.2813,12.59,G08046
299120888,21.7095,-8.8963,11.02,G08046;G08158
306337790,18.4639,-6.4924,14.02,G08046
333558655,12.068,-2.412,14.57,G08046
333559130,12.0974,-5.2204,16.22,G08046
333606576,12.9052,-5.972,16.47,G08046
382306185,11.0818,-4.3992,8.39,G08046
3836756,10.3916,-7.3294,15.51,G08046
3836983,10.4568,-6.0991,11.49,G08046;G08158
3904628,11.7216,-8.1586,16.97,G08046
398571094,15.3442,-5.3204,8.57,G08046;G08158
3990686,13.0638,-9.143,15.64,G08046
408036428,14.2158,-7.0677,13.75,G08046;G08158
408036728,14.1473,-8.8019,13.04,G08046;G08158
423360323,14.7651,-1.2254,12.87,G08046;G08158
439400768,13.5053,-12.1127,16.63,G08046
100105078,25.0858,-43.3538,14.31,G08046
111227711,29.6271,-39.5972,16.34,G08046
111289424,31.2824,-39.098,12.73,G08046;G08009
115319926,27.1533,-35.9866,13.36,G08046
115347396,27.557,-37.6984,11.77,G08046;G08009;G08137
129739340,35.1184,-37.3297,15.9,G08046
129764950,35.5787,-36.8634,13.04,G08046;G08158
129766762,35.7061,-36.7516,12.22,G08046;G08009
146249551,34.8251,-34.9011,16.81,G08046
147425925,40.8412,-41.8523,9.53,G08033;G08046;G08137;20SECONDTARGET
152319110,33.9437,-36.5765,16.18,G08046
165941376,31.7583,-44.1108,10.84,G08046;G08137
184534427,29.8701,-44.496,14.25,G08046
229100768,28.8206,-42.9309,15.57,G08046
340794574,36.8199,-40.7422,13.49,G08046
401868617,27.0642,-43.7316,14.04,G08046
41993553,23.4532,-40.3514,13.96,G08046
41995668,23.7488,-41.3082,13.44,G08046
631848383,38.2181,-43.1841,14.21,G08046
122506840,38.5164,-30.5607,9.59,G08046
122557995,39.7145,-34.958,12.18,G08033;G08046;G08137;20SECONDTARGET
122560228,39.8882,-35.7208,13.42,G08046;G08158;G08137
122608433,40.3642,-30.821,12.95,G08046;G08137;G08158
122669329,41.8094,-35.3271,12.13,G08046
142851561,50.2583,-35.3561,16.2,G08046;G08103
142867278,50.8144,-32.7937,16.48,G08046;G08103
142867581,50.8161,-34.598,13.46,G08046;G08103;G08137
142869937,51.1528,-35.1497,13.96,G08033;G08046;G08103;G08137
142874605,51.3054,-35.2654,15.18,G08033;G08046;G08103
142874735,51.483,-35.9209,6.34,G08101;G08046
142874857,51.5058,-35.18,17.59,G08046
142885904,51.7756,-34.7638,13.2,G08033;G08046;G08103;G08158;G08137
142889317,52.0313,-35.9121,8.82,G08046;G08158
142889338,52.0483,-35.8535,6.44,G08101;G08046;G08087
142930920,52.2767,-35.6853,12.54,G08033;G08046;G08137;20SECONDTARGET
142930997,52.3512,-35.2415,14.99,G08046;G08103
142938489,52.3968,-35.6786,16.29,G08046
142943730,52.8754,-33.9707,11.05,G08033;G08046;G08137;20SECONDTARGET
142945271,53.0341,-34.2223,13.6,G08046;G08103;G08137
142945545,53.0506,-35.6621,15.79,G08046
152360534,44.8638,-37.2279,15.77,G08033;G08046
