# TESS Program G08036

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to continue this ongoing program and observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, with a small number of systems at 20 second cadence. This on-going program is providing a long-lasting legacy dataset for the community by unravelling the optical variability properties of a variety of accreting compact objects.
92167387,172.3402,-53.9288,15.84,G08036;20SECONDTARGET
94010239,176.4239,-51.3392,13.59,G08036
72182461,186.5212,-45.8253,15.32,G08036
73088974,189.7829,-45.5624,9.24,G08036
142209224,180.3516,-31.9908,13.0,G08036;20SECONDTARGET
105994999,157.7038,-41.8913,15.87,G08036;20SECONDTARGET
151735351,167.2875,-41.8922,13.8,G08036
178538234,165.0684,-42.677,13.89,G08036;20SECONDTARGET
29932813,166.3728,-40.1191,15.21,G08036;G08079
71544757,155.5218,-35.6322,15.35,G08036
168840758,193.7828,-50.7056,15.19,G08036;20SECONDTARGET
404153438,195.2399,-49.2035,12.09,G08036
68598724,202.831,-54.9761,12.21,G08036;G08137
376563018,180.7391,-55.478,15.98,G08036
392245387,174.9555,-70.6755,15.4,G08036
1036707862,218.2507,-61.3548,15.04,G08036;20SECONDTARGET
208504429,208.6889,-59.1512,11.42,G08036;G08184
289149727,201.9195,-59.1716,15.77,G08036;20SECONDTARGET
398597669,219.5172,-65.183,15.86,G08036;20SECONDTARGET
350804607,246.8479,-62.5581,15.41,G08036;20SECONDTARGET
362328364,245.6601,-70.0373,14.74,G08036;20SECONDTARGET
451466671,239.9281,-69.103,15.98,G08036
426284394,241.2298,-72.3889,15.1,G08036;G08079
466695912,296.9505,-76.3863,14.78,G08036
447651236,254.4222,-63.2113,10.68,G08036;G08108;G08055
447756478,255.4563,-63.9015,15.3,G08036

# Sector 101 targets observed (2 min: 205, 20 s: 13)
134717669,182.6282,-39.0661,16.84,G08036
135093389,185.113,-38.8647,17.12,G08036;G08079
142113230,179.3731,-34.6305,17.33,G08036
142209224,180.3516,-31.9908,13.0,G08036;20SECONDTARGET
454012641,175.4209,-36.5956,17.05,G08036
900847417,178.9419,-39.0451,19.36,G08036
901054746,174.4824,-35.5672,17.83,G08036
901055157,174.4985,-35.4264,18.89,G08036
940624799,179.5637,-41.7689,18.47,G08036
940673967,176.6664,-41.6064,19.81,G08036
941062979,173.0026,-38.5844,17.34,G08036
941094762,173.314,-37.1724,17.54,G08036;G08002;G08062
941104452,174.2001,-36.1746,20.43,G08036
942248803,172.0639,-34.802,18.3,G08036
950966828,183.2176,-37.2085,18.19,G08036;G08079
951008167,182.9911,-35.6981,19.02,G08036
951076213,182.654,-33.1389,19.93,G08036
998055349,182.7029,-40.1969,19.75,G08036
103914433,195.121,-30.8824,18.31,G08036
1055359819,200.8164,-32.3258,19.09,G08036
124404442,198.3211,-32.987,14.22,G08036
124568633,199.415,-30.012,14.91,G08088;G08036;20SECONDTARGET
124786345,201.1484,-33.1833,18.35,G08036
130943028,188.3554,-33.6547,18.12,G08036
131084221,189.9949,-30.4877,13.83,G08036
131237300,191.3476,-35.1657,16.89,G08036
144603871,191.2823,-38.2228,17.64,G08036
178818626,194.5544,-38.6529,16.89,G08036;G08079
286196290,187.4083,-29.2817,17.93,G08036;G08079
951231249,185.3346,-30.4229,20.11,G08036
998268764,191.136,-39.8712,19.78,G08036
998515862,193.9287,-34.3514,19.02,G08036
998526545,194.3462,-33.2015,17.46,G08036
998708182,192.8727,-32.4771,19.52,G08036
998789847,199.7179,-36.5611,20.07,G08036
998910835,195.1877,-33.2354,16.91,G08036;G08079
998967358,198.8992,-31.0239,18.67,G08036
998978256,198.5019,-30.3617,20.58,G08036
998983866,199.191,-29.5981,19.82,G08036
999083105,194.7356,-28.6915,19.88,G08036
999085360,194.4634,-28.5043,17.76,G08088;G08088;G08036;G08002;G08062;G08079
423568600,185.6517,-18.1806,17.45,G08036
443625642,186.5718,-25.4513,17.47,G08088;G08036;G08079
951552575,183.7312,-23.9016,19.38,G08036
951651235,192.1064,-26.5622,19.99,G08036
951870109,190.1472,-21.2205,18.65,G08036
951883534,191.5084,-20.384,18.55,G08036
952087515,187.1244,-22.8827,16.39,G08036;20SECONDTARGET
952203827,184.8529,-19.0067,17.66,G08036
952240841,185.1005,-18.4506,18.44,G08036
428671557,179.6436,-22.5595,16.23,G08036
437261379,170.3572,-21.2032,19.42,G08036
901250351,172.2048,-31.9805,19.37,G08036
901315926,171.8581,-28.3699,19.4,G08036
901590127,169.5646,-25.6731,18.43,G08036;G08079
901820936,173.0791,-21.6619,20.32,G08036;G08079
901821417,173.3697,-21.6419,20.35,G08036
901834777,174.4581,-20.127,18.83,G08036;G08002;G08062
951562666,180.7382,-24.8485,18.57,G08088;G08036;G08079
253410027,196.4981,-57.9168,16.62,G08036
289149727,201.9195,-59.1716,15.77,G08036;20SECONDTARGET
411935699,189.7212,-55.676,17.31,G08036
442708084,198.2181,-63.3961,13.35,G08036
208504429,208.6889,-59.1512,11.42,G08036;G08184
209476931,210.495,-54.9672,16.07,G08036;20SECONDTARGET
329693923,212.4385,-52.2083,13.83,G08036
331902311,215.0977,-48.9329,14.04,G08036;G08079
68598724,202.831,-54.9761,12.21,G08036;G08137
1048528518,201.9333,-44.1192,17.99,G08036
1052871185,207.9311,-44.5056,18.51,G08036
1053526124,207.1857,-42.1236,19.86,G08036
1053542009,205.7022,-42.342,19.18,G08036
1053659330,206.0031,-40.479,19.86,G08036
1054790756,200.7821,-42.9742,19.52,G08036
1054875815,202.3498,-40.4055,19.7,G08036
1054962552,203.464,-37.8653,20.53,G08036
1055038986,202.2672,-36.9812,20.52,G08036
166186464,206.2661,-41.8737,16.7,G08036
30280604,197.7566,-41.7729,17.23,G08036
30988774,200.9356,-41.7415,14.23,G08036
425432916,200.7826,-48.0953,16.25,G08036;20SECONDTARGET
522930477,202.321,-47.4746,19.0,G08036
994256822,195.5957,-47.4181,19.52,G08036
994412236,199.9169,-46.2416,19.84,G08036
996733477,195.9834,-43.5329,19.76,G08036
996764588,194.9182,-43.3336,20.32,G08036
996866757,198.0552,-42.3018,19.83,G08036
997038707,196.2817,-41.9371,19.56,G08036
997070022,195.0314,-41.2681,19.74,G08036
997223100,196.5017,-39.7463,20.38,G08036
998774453,199.274,-37.6187,16.39,G08036
163041049,191.0392,-48.2258,16.25,G08036
168840758,193.7828,-50.7056,15.19,G08036;20SECONDTARGET
21105161,186.7306,-53.2209,16.94,G08036
403842301,188.2227,-51.3128,16.15,G08036
72182461,186.5212,-45.8253,15.32,G08036
73088974,189.7829,-45.5624,9.24,G08036
939145334,177.0924,-48.9463,19.83,G08036
939211695,178.8452,-47.8528,18.54,G08036
94010239,176.4239,-51.3392,13.59,G08036
995150561,183.4085,-50.3968,17.5,G08036
995543911,187.1197,-48.2789,19.8,G08036
995660956,190.3636,-46.0285,19.87,G08036
995695233,181.0445,-50.6148,19.88,G08036
996423923,189.876,-42.9158,18.72,G08036
997662758,186.8979,-44.244,19.5,G08036
1036707862,218.2507,-61.3548,15.04,G08036;20SECONDTARGET
398597669,219.5172,-65.183,15.86,G08036;20SECONDTARGET
1106329071,221.3073,-72.3544,19.84,G08036
396361681,212.8931,-72.9403,16.23,G08036
448006966,185.3501,-68.2306,16.82,G08036
1105472185,232.6495,-72.536,18.1,G08036
1105620413,235.9616,-72.2671,18.23,G08036
1205248046,242.3319,-79.1802,18.54,G08088;G08036
1205366139,240.9765,-76.7085,19.36,G08036
1508701512,261.2357,-80.7438,19.81,G08036
1508702089,260.7582,-80.7824,19.99,G08036
1508759020,264.467,-79.0137,18.53,G08036
1508900251,263.7218,-75.608,18.48,G08036
256300730,258.6471,-84.3582,18.14,G08036
263952679,231.7791,-70.855,17.54,G08036
309636161,247.8232,-72.9649,16.54,G08036
426284394,241.2298,-72.3889,15.1,G08036;G08079
1211288045,245.4211,-60.4037,19.01,G08036
1211418907,244.7008,-60.4637,16.67,G08036
1310036166,259.8913,-71.1116,17.74,G08036
1310298753,254.1602,-70.5101,19.91,G08036
1310329002,250.7963,-70.7867,19.76,G08036
1509344011,267.5231,-68.9615,18.23,G08036
1510405039,263.2604,-64.2936,19.87,G08036
1510594549,263.7919,-63.0472,17.55,G08036
350804607,246.8479,-62.5581,15.41,G08036;20SECONDTARGET
362328364,245.6601,-70.0373,14.74,G08036;20SECONDTARGET
364279719,252.3056,-69.8148,16.03,G08036
403050659,249.8556,-64.5196,13.83,G08036
447651236,254.4222,-63.2113,10.68,G08036;G08108;G08055
447756478,255.4563,-63.9015,15.3,G08036
451466671,239.9281,-69.103,15.98,G08036
1688884205,277.5589,-67.1758,19.9,G08036
1689082443,276.5705,-64.8989,19.57,G08036
1689138572,272.0798,-65.1835,19.53,G08036
1815874410,289.151,-69.4761,19.47,G08036
1815904823,284.6061,-69.7429,19.62,G08036
1816063572,289.9382,-67.0714,18.47,G08036
1816086350,289.7914,-65.9479,19.67,G08036
1816296308,287.0489,-63.7253,20.02,G08036
1816297354,287.4942,-63.4642,20.09,G08036
1816436091,288.4156,-61.7158,19.23,G08036
1816582552,285.5287,-61.2149,19.27,G08036
343833361,273.989,-72.6807,16.64,G08036
1688318163,271.0394,-76.2271,19.34,G08036
1688356769,278.0821,-74.432,19.34,G08036
1815541951,286.0867,-78.8361,19.17,G08036
1815565869,288.6327,-77.3846,18.83,G08036
1922051835,294.6074,-79.4276,19.42,G08036
1987927764,315.6103,-76.2651,17.94,G08036
1987935323,318.2682,-75.9956,18.93,G08036
1987999179,313.4964,-73.0581,19.41,G08036
1988289211,303.4575,-70.2551,20.5,G08036
2025906841,329.6946,-78.537,20.13,G08036
2025922713,324.3643,-78.0099,19.81,G08036
262022587,323.4182,-77.4386,18.41,G08036
277074217,280.2183,-83.7197,15.82,G08036
345170631,281.2018,-74.3095,16.78,G08036
374347766,302.032,-69.8165,15.47,G08036;20SECONDTARGET
466695912,296.9505,-76.3863,14.78,G08036
469871163,302.9825,-77.8677,15.78,G08036;G08079
1988192042,311.7442,-69.7511,18.71,G08036
1988248661,318.0541,-66.6345,18.31,G08036
1988269966,318.0651,-65.1322,19.79,G08036
1988271927,318.4457,-64.6708,17.75,G08036
2025986419,335.2059,-74.0446,17.65,G08036
2026217583,331.5059,-70.6464,18.86,G08036
2026419057,329.1552,-63.4487,18.44,G08036
265528114,322.3134,-62.1436,17.86,G08036
277686948,329.2902,-64.4932,17.81,G08036;G08079
344585729,323.7038,-68.1847,18.68,G08036;G08079
410152621,340.4997,-66.4201,17.56,G08036
410442849,319.7081,-64.4204,14.62,G08036;20SECONDTARGET
419794454,325.5726,-67.8004,15.97,G08088;G08036;G08079
1922626837,298.4903,-63.017,20.0,G08036
1922647078,298.065,-62.3454,18.92,G08036
1922731130,296.383,-61.3359,19.63,G08036
1922748438,299.6038,-61.6098,19.35,G08036
1922762427,298.2971,-60.6462,18.76,G08088;G08036
1922844405,295.9759,-60.0197,20.19,G08036
1988472204,310.136,-65.0317,19.65,G08036
1988521564,300.179,-64.7219,19.77,G08036
1988950872,310.6966,-60.7567,18.83,G08036
1988992596,306.7357,-60.3077,19.47,G08036
1989009099,311.8403,-59.1331,15.37,G08036
1989246863,306.6753,-57.3652,20.55,G08036
1989261566,305.5267,-56.8505,18.49,G08036
1989307811,309.8957,-56.286,18.02,G08036
1989357624,308.8056,-54.2155,20.66,G08036
1989393204,303.0473,-56.7386,18.34,G08036
1989465389,303.5158,-54.1069,19.64,G08088;G08036
219965825,305.6855,-56.8716,17.46,G08036
219975536,306.4332,-58.3928,15.71,G08088;G08036
220372086,308.4049,-56.5626,15.98,G08088;G08036
231666244,318.9214,-58.6819,16.55,G08036;G08158
320173862,293.9288,-59.1397,12.98,G08036
421990485,301.0773,-55.7259,10.88,G08036
466167253,299.1998,-60.5753,16.34,G08088;G08036;G08146
466202092,302.2329,-65.4621,17.43,G08036

# Sector 102 targets observed (2 min: 201, 20 s: 15)
1048528518,201.9333,-44.1192,17.99,G08036
1052871185,207.9311,-44.5056,18.51,G08036
1053526124,207.1857,-42.1236,19.86,G08036
1053542009,205.7022,-42.342,19.18,G08036
1054790756,200.7821,-42.9742,19.52,G08036
166186464,206.2661,-41.8737,16.7,G08036
331902311,215.0977,-48.9329,14.04,G08036;G08079
425432916,200.7826,-48.0953,16.25,G08036;20SECONDTARGET
522930477,202.321,-47.4746,19.0,G08036
994412236,199.9169,-46.2416,19.84,G08036
996733477,195.9834,-43.5329,19.76,G08036
1052118370,215.3243,-43.6192,19.79,G08036
1052614614,219.6762,-38.2534,19.51,G08036
1155559362,226.8899,-45.447,16.68,G08036
1168677163,227.861,-40.1304,17.95,G08036
1174385040,223.8783,-36.7428,19.76,G08036
121780621,226.2261,-39.992,16.13,G08036
159197255,219.4153,-36.2239,12.6,G08036;20SECONDTARGET
159865726,221.3988,-39.3408,16.4,G08036
241857040,217.363,-38.0694,15.54,G08036
242477126,214.3773,-44.0493,15.11,G08036;20SECONDTARGET
383634892,221.0638,-44.6442,15.56,G08036;20SECONDTARGET
1053814228,209.823,-37.8783,18.89,G08036
1054317501,218.4597,-34.8766,19.78,G08036
1054389346,216.2825,-35.1823,20.7,G08036
1054624074,213.8162,-35.4636,20.09,G08036
1054674955,214.8089,-33.7032,19.43,G08036
1055404778,209.1449,-34.051,19.39,G08036
1055535197,211.6028,-32.0627,20.5,G08036
1055594557,212.3838,-29.2845,20.02,G08036
1055618756,208.7292,-30.0002,20.18,G08036
1055623478,209.8907,-29.5207,19.4,G08036
1056424242,217.3334,-28.458,19.86,G08036
1056561662,212.9036,-28.4691,20.36,G08036
1056615171,212.0768,-27.1867,19.88,G08036
1056656588,216.4156,-26.4353,19.75,G08036
1056657494,216.3123,-26.2468,19.94,G08036
1175929272,221.0396,-32.4757,19.44,G08036
179405612,211.9176,-37.2853,14.9,G08036
179537916,212.4715,-36.6922,16.92,G08036
30202563,207.2085,-31.1433,17.77,G08036
339415366,213.8915,-34.2279,17.66,G08036
379593642,219.686,-30.8635,17.89,G08036;G08002;G08062
392753570,217.9387,-35.868,16.65,G08036
392754357,218.0453,-35.211,15.97,G08036;G08079
441827276,207.1846,-29.4553,18.49,G08036
7551387,213.4592,-29.8897,14.45,G08036;20SECONDTARGET
83839151,217.6269,-25.8773,14.98,G08036
83860778,217.6752,-26.0279,16.1,G08036
101939196,205.0705,-30.5827,15.74,G08036;G08079
1053860283,206.2832,-38.3002,17.68,G08036;G08079
1054875815,202.3498,-40.4055,19.7,G08036
1054962552,203.464,-37.8653,20.53,G08036
1055038986,202.2672,-36.9812,20.52,G08036
1055104951,206.3282,-36.5041,18.44,G08036
1055183341,205.0621,-35.0868,18.37,G08036
1055228136,201.0453,-36.617,17.93,G08036
1055359819,200.8164,-32.3258,19.09,G08036
1055370842,203.2364,-31.7343,19.98,G08036
124404442,198.3211,-32.987,14.22,G08036
124568633,199.415,-30.012,14.91,G08088;G08036;20SECONDTARGET
124786345,201.1484,-33.1833,18.35,G08036
178818626,194.5544,-38.6529,16.89,G08036;G08079
30280604,197.7566,-41.7729,17.23,G08036
405601752,201.9863,-32.3424,18.52,G08036
425582142,206.0886,-34.8298,15.79,G08036
58715174,202.9746,-29.6831,17.52,G08036
997038707,196.2817,-41.9371,19.56,G08036
997070022,195.0314,-41.2681,19.74,G08036
997223100,196.5017,-39.7463,20.38,G08036
998515862,193.9287,-34.3514,19.02,G08036
998526545,194.3462,-33.2015,17.46,G08036
998708182,192.8727,-32.4771,19.52,G08036
998774453,199.274,-37.6187,16.39,G08036
998789847,199.7179,-36.5611,20.07,G08036
998910835,195.1877,-33.2354,16.91,G08036;G08079
998967358,198.8992,-31.0239,18.67,G08036
998978256,198.5019,-30.3617,20.58,G08036
1105472185,232.6495,-72.536,18.1,G08036
1105620413,235.9616,-72.2671,18.23,G08036
1106329071,221.3073,-72.3544,19.84,G08036
259437523,223.563,-68.2719,16.74,G08036
263952679,231.7791,-70.855,17.54,G08036
362328364,245.6601,-70.0373,14.74,G08036;20SECONDTARGET
396361681,212.8931,-72.9403,16.23,G08036
398597669,219.5172,-65.183,15.86,G08036;20SECONDTARGET
451466671,239.9281,-69.103,15.98,G08036
1211288045,245.4211,-60.4037,19.01,G08036
1211418907,244.7008,-60.4637,16.67,G08036
350804607,246.8479,-62.5581,15.41,G08036;20SECONDTARGET
403050659,249.8556,-64.5196,13.83,G08036
447651236,254.4222,-63.2113,10.68,G08036;G08108;G08055
447756478,255.4563,-63.9015,15.3,G08036
1153511898,227.453,-47.4982,18.36,G08036
190369353,235.4387,-53.136,19.29,G08036
461920379,233.2923,-52.389,13.96,G08036;20SECONDTARGET
1036707862,218.2507,-61.3548,15.04,G08036;20SECONDTARGET
208504429,208.6889,-59.1512,11.42,G08036;G08184
209476931,210.495,-54.9672,16.07,G08036;20SECONDTARGET
289149727,201.9195,-59.1716,15.77,G08036;20SECONDTARGET
329693923,212.4385,-52.2083,13.83,G08036
68598724,202.831,-54.9761,12.21,G08036;G08137
1509344011,267.5231,-68.9615,18.23,G08036
1510405039,263.2604,-64.2936,19.87,G08036
1510594549,263.7919,-63.0472,17.55,G08036
1510976590,267.8477,-60.9893,19.82,G08036
1511272538,261.8201,-60.5455,18.7,G08036
1688884205,277.5589,-67.1758,19.9,G08036
1689082443,276.5705,-64.8989,19.57,G08036
1689138572,272.0798,-65.1835,19.53,G08036
1205248046,242.3319,-79.1802,18.54,G08088;G08036
1205366139,240.9765,-76.7085,19.36,G08036
1310183121,253.4496,-72.7048,18.86,G08036
1310298753,254.1602,-70.5101,19.91,G08036
1310329002,250.7963,-70.7867,19.76,G08036
1508701512,261.2357,-80.7438,19.81,G08036
1508702089,260.7582,-80.7824,19.99,G08036
1508759020,264.467,-79.0137,18.53,G08036
1508900251,263.7218,-75.608,18.48,G08036
1509131834,260.1149,-73.304,18.89,G08036
1688318163,271.0394,-76.2271,19.34,G08036
1688356769,278.0821,-74.432,19.34,G08036
1688463533,272.1766,-73.0666,19.08,G08036
309636161,247.8232,-72.9649,16.54,G08036
343833361,273.989,-72.6807,16.64,G08036
345170631,281.2018,-74.3095,16.78,G08036
426284394,241.2298,-72.3889,15.1,G08036;G08079
1815541951,286.0867,-78.8361,19.17,G08036
1815565869,288.6327,-77.3846,18.83,G08036
1922051835,294.6074,-79.4276,19.42,G08036
1987927764,315.6103,-76.2651,17.94,G08036
1987935323,318.2682,-75.9956,18.93,G08036
1987999179,313.4964,-73.0581,19.41,G08036
2025906841,329.6946,-78.537,20.13,G08036
2025922713,324.3643,-78.0099,19.81,G08036
2054590505,342.8307,-78.7525,20.03,G08036
262022587,323.4182,-77.4386,18.41,G08036
466695912,296.9505,-76.3863,14.78,G08036
469871163,302.9825,-77.8677,15.78,G08036;G08079
1815874410,289.151,-69.4761,19.47,G08036
1816063572,289.9382,-67.0714,18.47,G08036
1816086350,289.7914,-65.9479,19.67,G08036
1816296308,287.0489,-63.7253,20.02,G08036
1816297354,287.4942,-63.4642,20.09,G08036
1816436091,288.4156,-61.7158,19.23,G08036
1816582552,285.5287,-61.2149,19.27,G08036
1922626837,298.4903,-63.017,20.0,G08036
1922647078,298.065,-62.3454,18.92,G08036
1922731130,296.383,-61.3359,19.63,G08036
1922748438,299.6038,-61.6098,19.35,G08036
1922762427,298.2971,-60.6462,18.76,G08088;G08036
1922844405,295.9759,-60.0197,20.19,G08036
1988192042,311.7442,-69.7511,18.71,G08036
1988289211,303.4575,-70.2551,20.5,G08036
1988347351,302.4685,-68.5025,20.32,G08036
1988472204,310.136,-65.0317,19.65,G08036
1988521564,300.179,-64.7219,19.77,G08036
1988992596,306.7357,-60.3077,19.47,G08036
374347766,302.032,-69.8165,15.47,G08036;20SECONDTARGET
466167253,299.1998,-60.5753,16.34,G08088;G08036;G08146
466202092,302.2329,-65.4621,17.43,G08036
1988248661,318.0541,-66.6345,18.31,G08036
1988269966,318.0651,-65.1322,19.79,G08036
1988271927,318.4457,-64.6708,17.75,G08036
1988950872,310.6966,-60.7567,18.83,G08036
1989009099,311.8403,-59.1331,15.37,G08036
2026419057,329.1552,-63.4487,18.44,G08036
2026629942,324.9508,-59.9927,16.58,G08088;G08036
231666244,318.9214,-58.6819,16.55,G08036;G08158
265528114,322.3134,-62.1436,17.86,G08036
277686948,329.2902,-64.4932,17.81,G08036;G08079
403268270,331.3312,-60.2068,17.57,G08088;G08036;G08079
410442849,319.7081,-64.4204,14.62,G08036;20SECONDTARGET
2025986419,335.2059,-74.0446,17.65,G08036
2026217583,331.5059,-70.6464,18.86,G08036
2026492243,339.8018,-63.5668,19.6,G08036
2054732633,350.016,-71.9407,20.18,G08036
2054941211,347.2413,-65.9924,20.62,G08036
327915196,1.6405,-69.0094,14.89,G08088;G08036;G08158
394127005,2.6664,-68.293,18.09,G08036
410152621,340.4997,-66.4201,17.56,G08036
410155018,353.0348,-70.0898,13.98,G08036
410215314,355.0472,-70.3916,17.71,G08036
412064070,0.4798,-67.1287,14.33,G08036;G08088;G08158
201364578,5.3788,-57.3228,17.42,G08036;G08079;G08158
2055092256,357.48,-60.9048,19.83,G08036
2055100623,354.406,-60.7329,20.32,G08036
2055123702,348.2444,-61.9712,18.57,G08036
2055219466,355.9091,-58.8798,19.46,G08088;G08036;G08079
2055256574,358.0335,-56.0358,19.26,G08036
381924169,351.174,-59.8436,17.61,G08036;G08079
616052019,3.5016,-56.2929,18.21,G08036
616094878,2.9978,-55.6978,18.73,G08036
143853116,331.6284,-52.7388,16.88,G08036
2027015442,334.3972,-54.4559,18.73,G08036
2027027973,331.1773,-54.2873,20.47,G08036
2027069201,336.8014,-49.9529,18.55,G08036
2027092083,334.8075,-49.2678,18.81,G08036
2027249031,333.8475,-48.2949,19.34,G08036
2055357403,347.0906,-50.7246,19.23,G08036
219332771,338.5739,-56.6804,18.31,G08036;G08079

# Sector 103 targets observed (2 min: 147, 20 s: 7)
190369353,235.4387,-53.136,19.29,G08036
274893520,240.1976,-48.7681,14.96,G08036
461920379,233.2923,-52.389,13.96,G08036;20SECONDTARGET
1337604190,253.2241,-42.2965,18.07,G08036
1153511898,227.453,-47.4982,18.36,G08036
1155559362,226.8899,-45.447,16.68,G08036
1168677163,227.861,-40.1304,17.95,G08036
1169077885,232.0377,-38.2665,18.29,G08036
121780621,226.2261,-39.992,16.13,G08036
383634892,221.0638,-44.6442,15.56,G08036;20SECONDTARGET
1310036166,259.8913,-71.1116,17.74,G08036
1310183121,253.4496,-72.7048,18.86,G08036
1508900251,263.7218,-75.608,18.48,G08036
1509131834,260.1149,-73.304,18.89,G08036
1509344011,267.5231,-68.9615,18.23,G08036
1688318163,271.0394,-76.2271,19.34,G08036
1688356769,278.0821,-74.432,19.34,G08036
1688463533,272.1766,-73.0666,19.08,G08036
1688884205,277.5589,-67.1758,19.9,G08036
1689138572,272.0798,-65.1835,19.53,G08036
1815541951,286.0867,-78.8361,19.17,G08036
1815565869,288.6327,-77.3846,18.83,G08036
1815766962,284.2149,-72.1722,19.93,G08036
1815874410,289.151,-69.4761,19.47,G08036
1815904823,284.6061,-69.7429,19.62,G08036
343833361,273.989,-72.6807,16.64,G08036
345170631,281.2018,-74.3095,16.78,G08036
120342455,280.8,-57.5126,14.32,G08036
1689082443,276.5705,-64.8989,19.57,G08036
1816063572,289.9382,-67.0714,18.47,G08036
1816086350,289.7914,-65.9479,19.67,G08036
1816296308,287.0489,-63.7253,20.02,G08036
1816297354,287.4942,-63.4642,20.09,G08036
1816436091,288.4156,-61.7158,19.23,G08036
1816582552,285.5287,-61.2149,19.27,G08036
1816731414,282.4695,-59.2198,19.05,G08036
1816749016,284.1704,-59.4478,16.8,G08036
1922626837,298.4903,-63.017,20.0,G08036
1922647078,298.065,-62.3454,18.92,G08036
1922731130,296.383,-61.3359,19.63,G08036
1922762427,298.2971,-60.6462,18.76,G08088;G08036
1922844405,295.9759,-60.0197,20.19,G08036
1923118146,290.8032,-57.2532,20.11,G08036
319565040,291.0018,-58.8908,17.97,G08036
320173862,293.9288,-59.1397,12.98,G08036
466167253,299.1998,-60.5753,16.34,G08088;G08036;G08146
1510976590,267.8477,-60.9893,19.82,G08036
1511272538,261.8201,-60.5455,18.7,G08036
1690113224,272.7141,-58.7668,19.88,G08036
1690749463,278.4848,-53.9806,18.2,G08036
390216980,269.4819,-52.7172,16.75,G08036
76447162,269.9213,-56.9788,16.29,G08036
76451741,269.9652,-59.3334,18.34,G08088;G08036
1211288045,245.4211,-60.4037,19.01,G08036
1211418907,244.7008,-60.4637,16.67,G08036
1310298753,254.1602,-70.5101,19.91,G08036
1310329002,250.7963,-70.7867,19.76,G08036
1510405039,263.2604,-64.2936,19.87,G08036
1510594549,263.7919,-63.0472,17.55,G08036
350804607,246.8479,-62.5581,15.41,G08036;20SECONDTARGET
362328364,245.6601,-70.0373,14.74,G08036;20SECONDTARGET
364279719,252.3056,-69.8148,16.03,G08036
403050659,249.8556,-64.5196,13.83,G08036
447651236,254.4222,-63.2113,10.68,G08036;G08108;G08055
447756478,255.4563,-63.9015,15.3,G08036
451466671,239.9281,-69.103,15.98,G08036
1922748438,299.6038,-61.6098,19.35,G08036
1988248661,318.0541,-66.6345,18.31,G08036
1988269966,318.0651,-65.1322,19.79,G08036
1988271927,318.4457,-64.6708,17.75,G08036
1988472204,310.136,-65.0317,19.65,G08036
1988521564,300.179,-64.7219,19.77,G08036
1988950872,310.6966,-60.7567,18.83,G08036
1988992596,306.7357,-60.3077,19.47,G08036
1989009099,311.8403,-59.1331,15.37,G08036
1989246863,306.6753,-57.3652,20.55,G08036
1989261566,305.5267,-56.8505,18.49,G08036
1989307811,309.8957,-56.286,18.02,G08036
1989393204,303.0473,-56.7386,18.34,G08036
219965825,305.6855,-56.8716,17.46,G08036
219975536,306.4332,-58.3928,15.71,G08088;G08036
220372086,308.4049,-56.5626,15.98,G08088;G08036
231666244,318.9214,-58.6819,16.55,G08036;G08158
265528114,322.3134,-62.1436,17.86,G08036
410442849,319.7081,-64.4204,14.62,G08036;20SECONDTARGET
466202092,302.2329,-65.4621,17.43,G08036
1922051835,294.6074,-79.4276,19.42,G08036
1987927764,315.6103,-76.2651,17.94,G08036
1987935323,318.2682,-75.9956,18.93,G08036
1987999179,313.4964,-73.0581,19.41,G08036
1988192042,311.7442,-69.7511,18.71,G08036
1988289211,303.4575,-70.2551,20.5,G08036
2025906841,329.6946,-78.537,20.13,G08036
2025922713,324.3643,-78.0099,19.81,G08036
2025986419,335.2059,-74.0446,17.65,G08036
2026217583,331.5059,-70.6464,18.86,G08036
262022587,323.4182,-77.4386,18.41,G08036
344585729,323.7038,-68.1847,18.68,G08036;G08079
374347766,302.032,-69.8165,15.47,G08036;20SECONDTARGET
419794454,325.5726,-67.8004,15.97,G08088;G08036;G08079
466695912,296.9505,-76.3863,14.78,G08036
469871163,302.9825,-77.8677,15.78,G08036;G08079
2054732633,350.016,-71.9407,20.18,G08036
2054941211,347.2413,-65.9924,20.62,G08036
2055053660,354.4869,-64.5101,18.95,G08036
2055123702,348.2444,-61.9712,18.57,G08036
327915196,1.6405,-69.0094,14.89,G08088;G08036;G08158
38735751,6.1285,-66.598,19.41,G08036
394127005,2.6664,-68.293,18.09,G08036
410152621,340.4997,-66.4201,17.56,G08036
410155018,353.0348,-70.0898,13.98,G08036
410215314,355.0472,-70.3916,17.71,G08036
412064070,0.4798,-67.1287,14.33,G08036;G08088;G08158
615670070,3.7964,-69.7628,19.6,G08036;G08079
2026419057,329.1552,-63.4487,18.44,G08036
2026492243,339.8018,-63.5668,19.6,G08036
2026629942,324.9508,-59.9927,16.58,G08088;G08036
2027015442,334.3972,-54.4559,18.73,G08036
2027027973,331.1773,-54.2873,20.47,G08036
