TICID,RA,Dec,Tmag,Keywords
1003831,130.2951,-16.0364,10.67,G08035;20SECONDTARGET
118956453,135.4163,-20.7204,11.94,G08035;20SECONDTARGET
348835438,134.7227,-13.3126,9.99,G08035;20SECONDTARGET
386259537,127.3872,-12.9448,11.33,G08035;20SECONDTARGET
50712784,126.3378,-11.501,10.56,G08035;20SECONDTARGET
53735810,158.2251,-34.9899,11.25,G08035;20SECONDTARGET
61538902,176.2991,-42.064,11.37,G08035;20SECONDTARGET
35516889,148.4166,-45.6591,11.6,G08035;20SECONDTARGET
445903569,147.1745,-51.7566,10.24,G08035;20SECONDTARGET
15445551,185.3247,-52.8408,10.35,G08035;20SECONDTARGET
21113347,186.7873,-48.9784,11.4,G08035;20SECONDTARGET
272213425,180.165,-45.7995,11.11,G08035;20SECONDTARGET
261867566,227.6584,-71.3618,10.57,G08035;20SECONDTARGET
