TICID,RA,Dec,Tmag,Keywords
434430376,139.342,-18.4215,12.7,G08009
293605269,149.6469,-14.7502,12.4,G08009
296728898,142.0306,-12.5366,12.84,G08009
332705803,150.2019,-12.5059,12.02,G08009
396823875,148.1732,-15.6048,10.91,G08009
47176598,145.5528,-7.0324,11.36,G08009
96033608,146.3259,-9.6739,12.76,G08009;G08158
262722802,138.343,3.6779,11.72,G08009
275126535,142.1073,0.2451,12.58,G08009
280797976,137.1921,-5.1252,12.92,G08009
290474796,139.0428,1.8851,10.41,G08009;G08158;20SECONDTARGET
293842781,141.4012,-1.9327,11.16,G08009
293843386,141.5423,-0.1298,12.38,G08009
77478617,141.6794,-3.7704,12.28,G08009
77551544,142.338,-4.1729,12.78,G08009
13628994,133.1506,-6.7408,12.87,G08009
7906972,133.3793,-5.0441,11.81,G08009
54147357,160.5651,-33.4389,12.87,G08009
415643181,147.6202,-19.1443,12.94,G08009
418082219,145.9152,-19.7615,11.46,G08009
152366332,171.097,-39.0133,11.64,G08009;G08158
454073466,176.3947,-40.9339,11.38,G08009
