TICID,RA,Dec,Tmag,Keywords
141045993,231.5338,-53.5579,7.96,G08102;G08046;G08082
220978100,246.7608,-54.186,15.43,G08002;G08062;G08082
316015087,244.9583,-50.1559,3.11,G08082;20SECONDTARGET
179348425,236.8674,-37.9179,5.37,G08082;G08195;20SECONDTARGET
295851322,237.4037,-39.9168,15.72,G08082
29646757,247.8711,-39.0147,6.49,G08082
350673608,246.0061,-39.193,4.81,G08082;G08195;20SECONDTARGET
4400550,245.8917,-39.2295,11.28,G08082;20SECONDTARGET
93932740,241.0295,-35.1771,8.8,G08046;G08082
143127398,229.2276,-46.2026,5.96,G08082;20SECONDTARGET
256055669,266.1491,-72.9931,15.49,G08033;G08082
292327036,279.1051,-66.8192,16.94,G08002;G08062;G08082
292747446,274.6818,-74.6861,16.21,G08002;G08062;G08082
294437848,265.79,-70.7339,16.3,G08082
343342625,267.9127,-77.8199,16.49,G08002;G08062;G08082
214194208,260.5868,-52.8836,8.7,G08082
298941139,243.092,-61.9293,7.02,G08101;G08082
343247662,240.8655,-65.8642,16.77,G08002;G08062;G08082;20SECONDTARGET
219963661,305.5785,-58.3549,15.4,G08082
219963669,305.5946,-58.3707,16.28,G08002;G08062;G08082
219963958,305.6692,-58.9813,16.69,G08002;G08062;G08082
341359427,316.1309,-63.9669,8.61,G08082
325341805,337.6515,-75.2701,15.7,G08002;G08062;G08082
325341811,337.6784,-75.2454,15.49,G08002;G08062;G08082;20SECONDTARGET
404292190,313.3972,-77.839,8.71,G08082
469875568,316.5649,-74.4297,16.49,G08002;G08062;G08082
2026294816,334.4367,-66.9942,16.81,G08002;G08062;G08082
2055120231,349.3877,-62.4041,18.33,G08002;G08062;G08082
260795156,347.5965,-68.8376,13.61,G08082
260795157,347.5871,-68.8366,7.73,G08082
261460023,334.433,-66.9937,15.31,G08082;20SECONDTARGET
350221443,355.7499,-64.7947,16.58,G08002;G08062;G08082
2026830885,326.5334,-54.3477,16.82,G08002;G08062;G08082
139301836,348.3956,-46.8114,16.26,G08002;G08062;G08082
262828433,349.107,-55.5268,6.51,G08082;20SECONDTARGET
262828453,349.0572,-55.4911,16.64,G08002;G08062;G08082
231865835,5.8591,-63.6859,16.18,G08082
231906514,6.237,-63.9508,8.31,G08082
281574678,7.6121,-58.9441,16.08,G08002;G08062;G08082
281797559,13.8908,-55.0046,8.86,G08082
425937620,5.3752,-63.5836,15.43,G08082
615855773,5.8575,-63.6867,17.56,G08002;G08062;G08082
615856642,5.3952,-63.5902,16.61,G08002;G08082;20SECONDTARGET
102165758,18.6689,-45.2677,8.49,G08082
616187504,17.3667,-48.9668,17.07,G08002;G08062;G08082
2055691981,353.465,-43.0616,17.45,G08002;G08062;G08082
616319103,8.4297,-44.4492,17.57,G08062;G08002;G08082
