TICID,RA,Dec,Tmag,Keywords
11104355,72.8684,-0.5466,7.64,G08102
213044782,75.357,-0.6971,6.67,G08102;G08046
213077009,75.8941,-2.9795,9.46,G08102
244208023,73.2858,-3.498,11.9,G08102
248656622,67.4394,-0.9199,9.61,G08102
248659679,67.5038,-2.3396,8.08,G08102
269077397,75.4933,2.0642,8.98,G08102
298851264,69.8635,-4.9325,9.36,G08102
298981924,70.5939,-0.9301,6.37,G08102
299007997,71.0298,-0.9442,10.11,G08102
43605536,75.4944,-6.4461,8.97,G08102
459946416,71.1786,3.2081,8.02,G08102;G08046
11201915,84.5638,-4.1084,6.79,G08102;G08158
11284239,84.6126,-5.0448,7.36,G08102
11289814,84.7693,-1.2308,8.08,G08102
11409548,85.3795,-3.9976,9.35,G08102
158697526,86.9978,3.9684,8.93,G08102
158760421,87.2552,2.6023,10.9,G08102
158763124,87.4414,0.7454,11.69,G08102
158870458,87.5994,4.9567,7.4,G08102
158943573,87.9107,2.2394,11.12,G08102
159060569,88.3971,1.7431,8.24,G08102
176403977,86.6145,-5.3192,8.92,G08102
176516923,87.1061,-0.7596,7.12,G08102;20SECONDTARGET
176612492,87.5634,-3.506,11.15,G08102
199914648,85.5648,3.6641,9.55,G08102
200049670,86.5094,2.2011,9.15,G08102
220064505,83.8477,0.2392,9.65,G08102
248995242,78.3618,-2.627,9.19,G08102
248996490,78.3212,-5.0836,8.96,G08102
262298181,78.0236,0.6047,7.9,G08102
323347284,84.4694,3.0827,11.01,G08102
34366540,82.0671,-6.639,10.49,G08102
4070682,80.1029,-3.5099,8.88,G08102
427334007,83.4802,-5.6475,9.73,G08102;G08137
427348685,83.4655,-0.0768,8.81,G08102
427350355,83.5657,-1.8811,10.65,G08102;G08137
427350376,83.5406,-1.9018,6.93,G08102
427376669,83.666,-1.9579,10.45,G08102
427377135,83.7689,-1.4018,9.34,G08102;G08137
427450323,84.0782,-0.3037,8.4,G08102
449364848,80.3883,3.1669,8.84,G08102
454193217,79.017,3.9815,9.5,G08102
50527353,81.9492,-5.5391,10.02,G08102;G08137
50620400,82.2555,-2.7753,8.38,G08102
50724937,82.8267,-5.7038,8.67,G08102
50793858,83.3084,-4.6355,8.41,G08102
127101094,84.5881,14.6443,11.56,G08102
127300001,85.1189,15.3305,11.86,G08102
156240970,86.3082,11.2507,11.79,G08102
156386946,86.9613,11.9617,11.51,G08102
156431997,87.0932,10.5919,11.16,G08102
200526044,83.0175,10.5971,11.43,G08102
247559428,86.3041,17.1587,11.54,G08102
247684822,86.8515,17.323,11.71,G08102
293636456,76.9325,14.3594,8.05,G08102
302268565,81.5112,15.6717,7.48,G08102;G08046
302902848,83.2545,15.4779,10.66,G08102
302972313,83.4461,13.3687,10.76,G08102
311240742,75.972,15.6524,9.58,G08102
345584728,78.7715,8.0807,10.18,G08102
345836202,82.1621,9.2572,10.88,G08102
365689775,81.5094,7.8817,11.14,G08102
373418398,76.2389,8.8349,10.02,G08102
412055851,79.7205,13.5671,7.38,G08102;G08046
454187448,78.8803,5.7597,8.47,G08102
47219478,80.5835,13.3627,10.52,G08102
47222246,80.7289,13.7774,10.81,G08102
47493531,81.3889,15.0713,11.44,G08102
59277801,85.4331,13.564,10.25,G08102
245819988,67.6628,15.6917,5.27,G08102;G08046;20SECONDTARGET
373024953,66.8997,6.6119,8.94,G08102
399619535,72.3611,10.9884,8.78,G08102
399729803,73.5185,6.4454,11.6,G08102
399814051,74.0223,10.0525,11.34,G08102
450097671,72.838,9.5988,9.72,G08102;G08137
60877377,66.3768,13.683,11.56,G08102
121714050,73.3008,-20.7722,6.88,G08102
13132797,76.3648,-26.1226,9.38,G08102
139732428,67.0631,-23.1016,8.75,G08102
178993771,69.7356,-27.9116,7.64,G08102
178996712,70.0633,-27.7353,8.59,G08102
398841751,78.5734,-23.2109,9.63,G08102
423519046,71.7121,-21.6879,9.09,G08102
77859746,78.4325,-30.56,9.03,G08102
123799430,90.5013,-21.8038,8.27,G08102
123925509,90.9893,-20.8685,9.27,G08102
123981167,91.4705,-20.6665,8.53,G08102
31196767,82.1987,-24.2613,7.04,G08102
32674544,85.721,-29.3298,8.2,G08102
33007731,88.0993,-26.2911,7.84,G08102;G08046
37002569,90.1187,-27.8885,8.24,G08102
37255322,91.5075,-24.9221,8.47,G08102
37354067,91.9039,-26.6212,8.71,G08102
398906730,79.3151,-20.8345,9.25,G08102
92844287,82.5762,-23.5233,9.26,G08102
92871376,83.0212,-23.4297,7.63,G08102
92937296,83.4744,-22.735,8.85,G08102
143337397,82.1511,-17.154,9.78,G08102
160182330,79.5493,-12.4832,9.78,G08102
201369927,83.3187,-7.5877,8.59,G08102
24662382,80.9318,-8.2896,7.55,G08102;G08046
24666226,81.0347,-9.8326,8.76,G08102
24699980,81.25,-6.7811,11.66,G08102
279698725,86.1385,-6.8642,6.64,G08102
279786731,86.281,-8.9459,8.92,G08102
318011853,89.9273,-14.7091,7.94,G08102
46488364,84.2224,-17.0166,8.53,G08102
66980408,88.6549,-11.8231,8.29,G08102
67037336,88.7335,-11.3179,9.1,G08102
95327817,90.5622,-15.7008,9.23,G08102
117648546,68.0325,-17.5495,9.0,G08102
117776495,69.8485,-15.9825,8.7,G08102
146804817,71.565,-9.8442,9.65,G08102
169383301,76.6537,-15.7815,9.31,G08102
169530929,78.033,-17.2605,9.17,G08102
246905356,73.5483,-14.9434,8.49,G08102
316877366,74.352,-16.2049,8.59,G08102
316918025,74.5593,-14.4523,8.62,G08102
316918132,74.6513,-14.784,7.15,G08102
382341347,65.9394,-14.0154,8.35,G08102;G08046
43488687,75.0802,-8.6432,8.28,G08102
56129374,70.895,-8.7945,6.47,G08102
9459162,73.8931,-10.8829,8.57,G08102
100530189,86.206,-30.9401,9.04,G08102
124686721,93.7271,-30.8532,7.33,G08102
143168754,89.9225,-30.6649,9.19,G08102
143276693,90.9462,-32.1929,9.83,G08102
192846995,83.3398,-37.7151,8.58,G08102
20073414,89.203,-36.3513,8.68,G08102
201492238,92.7491,-34.4785,8.8,G08102
201497357,93.0935,-30.4814,8.14,G08102;G08046
21748709,88.4711,-37.5338,7.27,G08102
300115533,92.4127,-40.8879,9.54,G08102
453077723,91.2378,-39.7083,9.11,G08102
1223574,71.817,-35.6987,8.97,G08102
14162190,77.6744,-36.2747,7.52,G08102
14221420,78.6365,-41.2453,9.3,G08102
1437448,74.5886,-33.6858,8.86,G08102
153798808,67.0082,-42.7538,8.2,G08102;G08046
200340857,76.8523,-42.1725,8.56,G08102
200475062,71.6625,-42.0927,7.34,G08102
77208896,68.9871,-38.1733,8.86,G08102
77264015,70.1603,-40.4249,9.32,G08102
77288892,70.5421,-38.5494,8.53,G08102
77743907,77.5241,-33.7794,8.78,G08102
77744694,77.5376,-31.3492,7.78,G08102
7780491,66.8441,-40.197,8.04,G08102
153742356,66.5321,-45.2835,9.59,G08102
161570223,74.4571,-44.6292,9.32,G08102
200432167,70.0948,-44.7356,9.2,G08102
200441087,71.1284,-44.4185,9.64,G08102
219375134,76.3748,-47.891,10.91,G08102
219388207,77.0296,-49.297,7.16,G08102
219395403,77.6808,-48.4553,7.62,G08102
219424956,80.1786,-51.2494,8.98,G08102
220399820,69.1285,-54.6209,8.28,G08102;G08158
231720229,80.7682,-51.3169,7.44,G08102
259587315,72.1605,-49.17,8.69,G08102;20SECONDTARGET
259675399,73.6392,-52.5238,7.86,G08102
259700926,74.2207,-52.8499,7.62,G08102
259701450,74.3704,-53.0143,9.08,G08102
311883977,66.8507,-53.4042,7.78,G08102
358335407,77.2656,-54.5572,9.63,G08102
156886111,98.9374,-43.0747,9.11,G08102;20SECONDTARGET
158069360,90.3347,-46.3298,8.23,G08102
219149521,89.6714,-52.7924,7.76,G08102
231947121,94.0579,-47.8295,8.05,G08102
232039311,96.7879,-47.8211,7.88,G08102
232040962,96.939,-45.0317,9.48,G08102
238898583,93.7,-49.7717,8.58,G08102
255567700,96.5288,-52.6527,7.82,G08102
255682153,98.3512,-48.0081,9.29,G08102
293688636,98.0858,-42.5593,8.0,G08102
393479086,94.7649,-41.7801,8.41,G08102
149971941,90.1427,-62.2695,9.33,G08102
150186826,93.739,-64.3777,8.71,G08102
150357935,96.1954,-62.8363,8.0,G08102
167695608,102.9257,-63.4305,11.69,G08102;20SECONDTARGET
238079810,104.7735,-53.476,8.32,G08102
238926302,94.523,-53.5588,6.72,G08102
260266534,93.9761,-59.1528,8.73,G08102
260505542,96.7453,-55.033,8.21,G08102
260656935,98.4145,-54.1171,8.01,G08102
262497948,109.8258,-58.0518,6.45,G08102
278986957,101.9161,-54.7517,7.82,G08102
279090002,102.6039,-58.7575,9.63,G08102
279091054,102.8116,-59.3002,9.63,G08102
279215865,103.4977,-55.78,9.1,G08102
279358612,104.5383,-53.9008,9.02,G08102
279361762,104.7667,-58.5147,8.04,G08102
287273024,109.4129,-59.2619,7.42,G08102;G08046
294154491,107.7269,-56.6989,9.57,G08102
294327312,108.8709,-58.5426,6.58,G08102;G08158
348898673,106.1613,-61.8439,9.59,G08102
349056430,107.4061,-62.3046,8.2,G08102
349409806,110.3717,-61.9924,8.1,G08102
350580827,86.8899,-55.0364,8.12,G08102
149303648,83.2205,-63.4559,7.2,G08102
149574542,86.7113,-63.2719,9.09,G08102
220478335,75.8577,-58.1032,9.66,G08102
350433379,85.0929,-57.8325,9.54,G08102
370041241,65.9833,-66.7367,6.67,G08102
372848820,67.7929,-55.9121,9.29,G08102
382042904,79.2134,-56.1455,9.11,G08102
38515566,62.7659,-63.1605,8.85,G08102
38586127,64.1215,-61.0837,9.79,G08102
389865900,87.4921,-66.4759,9.1,G08102
396696863,65.3498,-57.5416,9.02,G08102;G08158
404927661,85.4881,-66.0919,8.93,G08102
55526343,72.4981,-63.1649,9.06,G08102
141028164,79.1197,-75.0626,9.47,G08102
141028198,78.9632,-75.1031,9.74,G08102
141095359,79.5769,-74.0622,8.68,G08102
141152931,80.5865,-75.0103,8.15,G08102
141610473,88.9617,-77.8454,9.43,G08102
141808675,92.6771,-73.0128,7.54,G08102
141828614,93.4202,-74.2969,9.76,G08102
238190023,55.8527,-74.0085,7.32,G08102
238227405,58.8973,-73.9494,8.8,G08102
269792989,67.7909,-78.6327,7.77,G08102;G08158
29781099,65.0001,-68.7007,7.92,G08102
30527366,74.967,-68.5818,7.83,G08102
33717892,61.3679,-75.531,9.19,G08102
33836359,64.0615,-75.3439,8.08,G08102;G08158
358108310,51.1524,-76.7468,6.63,G08102
364424408,69.7567,-75.1027,9.94,G08102
370222613,73.3667,-72.7649,7.13,G08102
389570196,86.5231,-67.7097,7.85,G08102
