TICID,RA,Dec,Tmag,Keywords
43647325,76.082,-6.2297,10.44,G08035;20SECONDTARGET
452808876,72.6605,1.8938,9.54,G08035;20SECONDTARGET
411839167,78.9198,16.2787,10.82,G08035;20SECONDTARGET
399870368,74.5523,9.998,9.34,G08035;20SECONDTARGET
13021029,75.2997,-26.0541,11.72,G08035;20SECONDTARGET
77156657,68.1365,-38.9683,11.88,G08035;20SECONDTARGET
149603524,87.1397,-63.9883,9.71,G08035;20SECONDTARGET
38846515,68.9599,-64.027,10.32,G08035;20SECONDTARGET
179317684,79.7683,-71.8955,10.87,G08035;20SECONDTARGET
176956893,100.8331,-66.9476,11.41,G08035;20SECONDTARGET
271893367,112.9653,-73.606,10.9,G08035;20SECONDTARGET
