# TESS Program G09062

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Dartmouth College

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 108 targets observed (2 min: 655, 20 s: 186)
250381386,29.579,-2.4809,8.73,G09062
287222049,30.2737,-11.0485,7.3,G09062
29844890,23.3489,-7.1919,9.16,G09062
29845542,23.4298,-7.026,5.18,G09062;20SECONDTARGET
29847695,23.5808,-8.4581,7.64,G09062
29901695,24.409,-9.4031,5.74,G09062;20SECONDTARGET
299099679,21.0856,-6.9146,5.52,G09062;20SECONDTARGET
299138035,22.2773,-6.8479,7.68,G09062;20SECONDTARGET
299178501,22.4839,-10.5661,7.49,G09062;20SECONDTARGET
29919831,24.8586,-10.8063,8.19,G09062
29920044,25.0401,-11.4739,9.25,G09062
35666205,23.7009,-3.4462,9.35,G09062
35706202,24.2245,-0.531,8.43,G09062
404461000,25.3305,-12.1473,9.39,G09062
404461151,25.3132,-12.9177,9.06,G09062
54016731,23.757,-12.0852,8.05,G09062
92983926,28.0959,-14.3969,9.39,G09062
92993373,28.4933,-13.4091,9.81,G09062
92995279,28.658,-13.9138,7.83,G09062
93017596,28.8299,-14.1048,8.28,G09062
164699594,25.5082,-19.1927,7.3,G09062
164720205,25.5333,-18.1262,8.5,G09062
164720249,25.5665,-17.8886,6.85,G09062;20SECONDTARGET
164767496,26.1947,-20.1513,8.41,G09062
212384020,27.909,-15.1544,8.13,G09062
212384268,27.8693,-16.7411,8.02,G09062
257420064,22.1855,-13.6353,8.43,G09062
257422924,22.4211,-13.2244,6.82,G09062;20SECONDTARGET
268534259,15.1177,-19.3898,7.41,G09062;20SECONDTARGET
268617503,16.2058,-20.7325,7.03,G09062
268635135,16.5629,-20.0605,8.26,G09062
268637611,16.9299,-19.3137,7.2,G09062
268651896,17.3212,-18.099,9.52,G09062
28054692,13.1344,-20.9969,7.24,G09062;20SECONDTARGET
28054706,13.0545,-21.1084,7.17,G09062;20SECONDTARGET
28116853,23.7865,-23.447,8.02,G09062
29928131,24.6115,-15.4625,7.76,G09062
32533653,19.9911,-15.815,6.77,G09062;20SECONDTARGET
32551714,20.859,-14.2068,7.58,G09062;20SECONDTARGET
336875715,17.755,-11.3837,7.66,G09062
419015728,26.0037,-15.9311,2.75,G09062;G09123;G09123;20SECONDTARGET
423699193,21.5141,-17.3103,8.68,G09062
423700466,21.715,-13.0564,5.21,G09062;20SECONDTARGET
423725456,22.9821,-17.7014,8.35,G09062
439456192,18.9266,-18.4166,7.97,G09062
439458951,19.2736,-23.2386,8.6,G09062;G09180
439460803,19.5796,-23.5006,7.21,G09062
439466970,20.6265,-19.0817,6.04,G09062
439496110,21.8549,-20.3516,6.46,G09062
439499498,22.24,-17.9374,6.2,G09062
439501096,22.5045,-19.6059,7.76,G09062;G09123
441495748,23.4667,-21.035,7.52,G09062;20SECONDTARGET
441497101,23.5497,-19.2905,9.19,G09062
54071627,23.9733,-17.534,6.53,G09062;20SECONDTARGET
92992944,28.5069,-15.9873,8.37,G09062
97470196,24.2903,-25.0151,7.79,G09062
142930396,52.1803,-33.2077,8.63,G09062
142958513,53.0951,-33.5016,8.05,G09062
142959819,53.2584,-33.4548,9.52,G09062
142976476,53.4864,-31.0796,5.72,G09062;20SECONDTARGET
142977635,53.6243,-34.8328,6.66,G09062;20SECONDTARGET
143021681,54.3397,-34.6496,7.97,G09062;20SECONDTARGET
143021874,54.2146,-33.7806,6.45,G09062;20SECONDTARGET
143042212,55.0123,-34.5507,7.31,G09062
144651951,53.9609,-26.7875,8.19,G09062
152371331,65.3808,-25.7289,5.74,G09062;20SECONDTARGET
