# TESS Program G09062

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Dartmouth College

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 108 targets observed (2 min: 655, 20 s: 186)
93443984,87.2543,-23.8095,7.68,G09062;20SECONDTARGET
94987316,81.7916,-16.5247,6.89,G09062;20SECONDTARGET
124377750,92.9456,-22.803,8.41,G09062
142667952,103.5466,-13.6395,7.38,G09062;20SECONDTARGET
172081160,97.7894,-24.6927,9.18,G09062
287842750,97.6633,-17.9236,6.99,G09062
288356728,98.5829,-16.0105,7.17,G09062
333499483,100.4323,-16.2106,8.54,G09062
33798564,93.574,-17.4805,7.33,G09062
37879043,94.4064,-24.4456,7.04,G09062;20SECONDTARGET
443547096,99.2576,-14.6713,8.25,G09062
445145849,100.7382,-15.7342,7.4,G09062
445260885,100.8735,-14.0495,10.04,G09062
47634940,104.1538,-24.8645,8.09,G09062
47648930,97.6047,-22.298,10.54,G09062
47856136,98.1921,-23.4486,9.86,G09062
48047540,98.6982,-21.3512,8.52,G09062
48519256,99.8101,-23.1792,8.77,G09062
48544437,96.4968,-24.1194,10.15,G09062
48544557,96.4856,-24.2519,8.73,G09062
48652745,100.3501,-20.8483,8.22,G09062
48947167,100.8089,-20.4741,8.91,G09062
49609982,95.3004,-24.5123,8.21,G09062;G09123
49775101,96.1937,-24.5428,10.09,G09062
59752641,93.9109,-19.8051,7.69,G09062;20SECONDTARGET
59846132,94.266,-22.7172,5.53,G09062;20SECONDTARGET
59849848,94.2234,-18.7709,9.19,G09062
59850018,94.2192,-18.6065,6.89,G09062;20SECONDTARGET
60521063,96.494,-22.9505,9.82,G09062
63041201,104.391,-24.6301,5.04,G09062;20SECONDTARGET
78382063,102.4296,-19.3834,7.44,G09062
78485877,102.6306,-20.3632,8.13,G09062
79215518,103.9064,-20.1362,4.31,G09062;20SECONDTARGET
79430862,104.2573,-19.4396,6.19,G09062
95406412,103.7215,-14.8632,6.97,G09062
101266495,103.4442,-35.838,8.39,G09062
117666759,95.9148,-33.319,7.02,G09062
117670649,96.0128,-31.7738,7.76,G09062
117737373,96.1754,-35.564,10.92,G09062
119327800,96.7816,-37.8952,6.11,G09062;20SECONDTARGET
119443278,97.7092,-37.0849,7.96,G09062
124936819,95.354,-30.5132,9.97,G09062
147902328,99.0521,-36.1388,6.65,G09062;20SECONDTARGET
147902364,98.9749,-36.0891,5.89,G09062;20SECONDTARGET
147945235,99.4589,-36.1143,7.33,G09062
147977750,99.8295,-37.13,7.7,G09062
148003795,99.8874,-35.9275,8.99,G09062
148003877,100.1484,-36.0056,8.76,G09062
148124865,100.6294,-36.447,9.54,G09062
172119334,98.1614,-26.5511,8.8,G09062
172120110,98.1933,-27.4037,6.37,G09062
172195260,98.5955,-29.2676,9.39,G09062
172359183,99.7068,-27.7479,7.54,G09062;20SECONDTARGET
172404771,99.9132,-26.6419,8.3,G09062
172622444,100.8322,-26.4707,7.67,G09062
172734582,101.2164,-27.3395,5.9,G09062;20SECONDTARGET
299908219,97.5221,-28.6585,7.78,G09062
300031999,99.1237,-29.3691,9.81,G09062
37744137,93.8201,-29.2483,9.7,G09062
38023727,95.0553,-27.7262,10.18,G09062
393452654,94.7376,-37.3107,10.07,G09062
48540748,96.2795,-28.6987,8.43,G09062
49614495,95.3799,-29.1503,7.22,G09062;20SECONDTARGET
49702657,95.832,-26.8392,9.23,G09062
49771751,96.1024,-27.3134,7.49,G09062;20SECONDTARGET
49831913,96.1814,-28.781,5.79,G09062;G09123;20SECONDTARGET
51829779,97.7635,-35.4801,7.6,G09062;20SECONDTARGET
51996218,98.5156,-30.3372,7.68,G09062
52001745,98.7248,-34.8363,7.99,G09062
52051207,98.9986,-35.1713,7.34,G09062;20SECONDTARGET
52111139,98.9717,-31.8968,10.62,G09062
52114921,99.1162,-31.8867,6.51,G09062;20SECONDTARGET
52385153,100.1035,-31.6739,9.3,G09062
52641093,101.005,-33.6341,9.72,G09062
52687259,101.3437,-31.796,5.44,G09062;20SECONDTARGET
52918500,102.1614,-32.4687,7.69,G09062;20SECONDTARGET
53175558,103.0078,-33.9151,6.66,G09062;G09123;20SECONDTARGET
53457068,102.6895,-29.4476,7.39,G09062;20SECONDTARGET
53688090,103.3938,-28.5431,5.42,G09062;20SECONDTARGET
53823089,103.6371,-27.5594,8.27,G09062;20SECONDTARGET
63050430,104.585,-29.6455,9.25,G09062
63199687,104.7211,-29.8669,9.82,G09062
63475995,105.1769,-28.4899,5.84,G09062;20SECONDTARGET
63661147,105.4513,-27.7021,7.58,G09062;20SECONDTARGET
63663439,105.5227,-28.9204,8.67,G09062
96520633,104.3229,-35.507,5.82,G09062;20SECONDTARGET
96522055,104.37,-35.0628,8.32,G09062
96739823,104.7974,-33.8803,8.22,G09062
97162204,105.9047,-32.9816,7.81,G09062
97273469,106.185,-31.9454,6.91,G09062
97280658,106.3831,-34.7774,6.1,G09062
97281605,106.3205,-34.1431,7.06,G09062
97579288,106.9255,-34.2065,8.86,G09062
97790682,107.3568,-33.4547,8.2,G09062
106894218,110.4236,-25.9008,8.6,G09062
108413068,112.1758,-27.9045,7.96,G09062
109318740,113.157,-24.5728,7.97,G09062
110713000,114.5339,-28.7397,7.63,G09062;20SECONDTARGET
110714491,114.5871,-29.1978,9.73,G09062
111235557,110.3908,-30.1041,8.3,G09062
111539246,110.8971,-33.3845,9.28,G09062
112726375,112.5079,-32.9281,8.61,G09062
113027515,112.8051,-31.6907,10.0,G09062
113177336,112.991,-35.2588,8.57,G09062
113844912,113.7892,-31.5003,7.73,G09062
114208332,114.1209,-35.5955,9.93,G09062
114658086,114.5907,-32.5727,10.97,G09062
125555805,114.9948,-27.7176,9.6,G09062
126110862,115.6595,-27.5834,11.36,G09062
126206007,115.7666,-29.06,8.41,G09062
126436062,115.8523,-29.3591,7.64,G09062
126534808,116.0104,-25.6439,8.69,G09062
127262002,116.7378,-25.3707,7.79,G09062;20SECONDTARGET
127579341,117.2135,-26.0077,8.2,G09062
144358830,121.2586,-34.3118,7.84,G09062
144361392,121.2635,-33.5912,6.18,G09062
148662156,114.7796,-32.1031,8.09,G09062
148795222,115.1267,-33.4251,6.8,G09062;20SECONDTARGET
148872191,115.2515,-30.9276,10.18,G09062
149075809,115.4567,-30.3862,8.27,G09062
149134319,115.6742,-35.1616,8.88,G09062
149672905,116.3935,-34.1598,4.78,G09062;20SECONDTARGET
150151885,117.1768,-30.2533,6.9,G09062
150335527,117.3509,-30.5581,7.67,G09062;20SECONDTARGET
150470230,117.5396,-33.6107,9.86,G09062
150750364,118.0751,-30.8349,9.12,G09062
150796339,118.0635,-34.7037,4.64,G09062;G09157;20SECONDTARGET
152159822,119.7292,-34.6682,9.28,G09062
152329055,119.9882,-30.3756,7.02,G09194;G09062;20SECONDTARGET
152399684,120.0281,-31.9125,8.19,G09062
152401009,119.9204,-32.2369,9.75,G09062
319933613,109.5534,-33.4648,8.23,G09062
320214991,109.8295,-35.0391,7.6,G09062
320220653,110.0652,-33.7352,11.22,G09062
320350213,110.1074,-33.549,8.28,G09062
419084538,120.6114,-30.4188,7.97,G09062;20SECONDTARGET
419424892,121.1677,-32.8728,9.91,G09062
65057472,107.6706,-29.661,9.51,G09062
65142573,107.8006,-25.9078,7.7,G09062;20SECONDTARGET
65401386,108.0643,-26.5805,9.68,G09062
65900170,108.628,-25.8034,9.14,G09062
98168772,108.327,-33.9699,9.29,G09062
98393577,108.7486,-32.8029,8.11,G09062
100113050,109.1484,-17.9814,9.41,G09062
141260492,117.0497,-18.891,9.09,G09062
141261906,117.0323,-19.3313,7.81,G09062
141595550,117.4383,-20.2086,6.01,G09062
141988284,117.9554,-20.7209,6.36,G09062
231419689,115.3158,-20.3663,8.6,G09062
231426825,115.2265,-22.4209,8.33,G09062
259214713,113.5542,-16.1868,6.15,G09062
259363581,114.0626,-12.1753,8.75,G09062
289011319,114.8951,-16.0271,8.07,G09062
295401737,108.7015,-15.4763,6.93,G09062
296182274,109.2742,-14.8468,7.0,G09062
306852153,107.9849,-17.5051,9.78,G09062
333714282,116.1989,-15.0847,7.46,G09062
346889553,117.3909,-16.8611,7.56,G09062
348802343,113.8121,-18.9048,8.06,G09062
385924749,111.2831,-13.752,5.37,G09062;20SECONDTARGET
386070356,111.5146,-15.6667,6.31,G09062;20SECONDTARGET
405046988,113.6199,-13.8695,6.24,G09062;20SECONDTARGET
405111559,113.677,-17.6791,9.43,G09062
405113468,113.8007,-17.5471,6.74,G09062;20SECONDTARGET
405164570,113.8351,-14.0482,7.07,G09062;20SECONDTARGET
409081898,109.4889,-16.1796,8.92,G09062
409089031,109.4897,-13.887,7.08,G09062;20SECONDTARGET
412784279,111.307,-19.802,9.99,G09062
423245334,113.5769,-23.4737,5.41,G09062;20SECONDTARGET
456871289,113.5129,-22.2957,3.94,G09062;G09123;20SECONDTARGET
50276717,112.3352,-17.345,6.57,G09062
50283734,112.3397,-15.0004,5.86,G09062;20SECONDTARGET
62355113,115.508,-11.8523,6.93,G09062;20SECONDTARGET
65652471,108.2604,-24.2248,6.59,G09062;20SECONDTARGET
98878315,107.5392,-18.6856,5.87,G09062;20SECONDTARGET
99694823,108.5425,-18.9839,7.22,G09062
99935334,108.887,-23.7075,7.81,G09062;20SECONDTARGET
