# TESS Program G08036

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to continue this ongoing program and observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, with a small number of systems at 20 second cadence. This on-going program is providing a long-lasting legacy dataset for the community by unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 097 targets observed (2 min: 144, 20 s: 7)
349572491,111.7662,-63.3312,14.82,G08088;G08036;G08108;G08158
349682410,112.6555,-61.8958,14.56,G08088;G08036;G08108
364327739,101.8264,-64.6191,16.03,G08036;G08079
737169802,98.7977,-62.6742,19.55,G08036
737283511,99.7463,-60.2736,18.87,G08036
737398692,99.5238,-58.4145,18.2,G08036
737406871,99.485,-57.051,18.47,G08036
737436327,97.2233,-57.3473,17.45,G08088;G08036
765093219,118.8988,-67.0058,18.95,G08036
765120993,117.2646,-65.8908,19.85,G08036
765220618,106.9631,-67.3767,18.8,G08036
765228176,104.3311,-67.3237,18.39,G08036
765372300,106.2053,-64.6154,18.34,G08036
765483790,112.2326,-65.3579,18.73,G08036
765522245,119.0781,-63.167,19.9,G08036
765565354,110.6368,-63.9634,19.56,G08036
765664743,117.2721,-60.7059,19.8,G08036
765772936,111.7523,-59.8546,20.03,G08036
765946107,117.4681,-56.8996,18.67,G08036
766022861,101.355,-62.1131,18.9,G08036
766040448,105.3749,-60.6125,20.34,G08036
766045803,106.1788,-60.4074,19.88,G08036
766221761,107.8065,-59.4066,19.64,G08036
766261886,111.2645,-57.8261,18.94,G08036
766278399,112.6991,-56.6884,18.79,G08036
766370593,114.8015,-56.6762,18.55,G08036

# Sector 098 targets observed (2 min: 209, 20 s: 4)
213048462,75.4433,-3.9891,19.47,G08036
248395344,76.5547,-4.1355,16.94,G08036
298851147,69.875,-4.6005,14.05,G08036
452765080,75.0149,2.2758,17.88,G08036;G08079
671954875,65.5509,-3.4204,20.39,G08036
672203638,73.8649,-2.7969,19.79,G08036
672323624,70.566,-0.3884,19.94,G08036
672348974,69.4254,0.5132,19.49,G08036
672411659,72.3753,2.8649,20.38,G08036
672773565,65.4704,-0.3235,20.82,G08036
672849996,70.1131,2.5501,18.38,G08088;G08036
11402468,85.23,-2.7972,16.62,G08036
176722720,88.0324,-5.4168,13.46,G08036
200049513,86.4927,2.3517,17.61,G08036
249040374,79.1112,-0.204,13.99,G08036;G08108
264540896,81.7283,2.4819,17.12,G08036
454190342,78.9226,1.0779,15.23,G08088;G08036
454200187,79.2254,3.5479,14.24,G08036
459991491,81.0506,0.6967,17.21,G08036
50620873,82.248,-3.5646,13.99,G08036;G08108
50721797,82.7659,-1.0388,16.52,G08088;G08036
524206891,79.7608,0.7657,20.2,G08036
672454027,78.5828,1.1892,18.86,G08088;G08036
713054565,82.1189,1.5375,18.59,G08036;G08079
713060075,80.3846,1.1676,19.9,G08036
713072093,84.2463,0.3708,18.92,G08036;G08002;G08062
713072143,84.2345,0.4076,19.43,G08036
713152166,82.3031,2.3902,20.0,G08036
713255247,83.0818,3.9632,19.57,G08036
200515119,82.7867,9.7576,14.56,G08036;G08137
345639537,78.9382,7.6559,17.48,G08036
373449670,76.3618,8.5707,17.51,G08036
412059865,79.8454,15.9096,16.96,G08036
673742698,77.8343,11.5785,19.31,G08036
673915620,79.3203,15.5772,19.76,G08036
715589043,84.9087,6.2179,19.8,G08036
715852040,86.4435,9.2107,18.59,G08036
719055130,82.6749,14.3072,19.53,G08036
450083882,71.8558,9.4109,17.51,G08036
672908543,71.3541,5.1658,19.46,G08036
673028436,73.6553,5.8234,19.73,G08036
673029966,74.1935,6.0821,20.18,G08088;G08036
