# TESS Program G09041

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to continue this ongoing program and observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, with a small number of systems at 20 second cadence. This on-going program is providing a long-lasting legacy dataset for the community by unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 108 targets observed (2 min: 63, 20 s: 14)
705850776,97.0559,-29.6195,18.05,G09041
706000659,93.8695,-28.4728,17.43,G09041
706688289,85.37,-25.4542,17.42,G09041
157451427,106.4271,-38.2442,15.72,G09041;20SECONDTARGET
22641187,108.1371,-36.094,15.63,G09041;20SECONDTARGET
738412405,98.553,-32.9971,20.6,G09041
743819583,101.387,-28.5421,15.62,G09041
778126740,104.2764,-31.991,19.28,G09041
147178211,104.5244,-17.74,16.08,G09041
172467837,100.1985,-24.387,14.96,G09041;G09102;20SECONDTARGET
259217117,113.5774,-17.1074,17.52,G09025;G09041
5236342,112.5123,-19.4983,15.75,G09041
80923771,106.021,-23.7596,15.87,G09041
81737290,107.1142,-21.0698,15.28,G09041;20SECONDTARGET
128898689,118.5649,-24.3268,15.39,G09041
141515717,117.2718,-23.5668,14.46,G09041
155564378,123.63,-25.217,14.45,G09041
437220261,123.7785,-19.0554,15.64,G09041;G09102;20SECONDTARGET
782321737,119.2354,-23.2661,17.83,G09025;G09041
19488490,139.515,-30.5965,15.69,G09041;20SECONDTARGET
817019726,139.8119,-37.1375,18.54,G09041
117885256,128.274,-22.8089,16.56,G09041
37371801,134.7599,-27.1644,15.92,G09025;G09041
37430543,134.8325,-24.4821,14.95,G09041
834497638,128.8905,-18.5331,17.83,G09025;G09041
