# TESS Program G07051

Title: Asteroseismology With TESS And Song

PI: Jackiewicz, Jason - New Mexico State University

Type: SMALL

Summary: Asteroseismology of pulsating stars has been highly successful thanks to TESS data. However, there are fundamental gaps in our knowledge of pulsators, limiting our ability to exploit these data further. One of these gaps is how oscillations are driven and damped. Fortunately, studying the connection between simultaneously observed intensity variations (from TESS data) and radial-velocity (RV) variations (from ground-based SONG data) will give critical insight into the physics of oscillations. Additionally, it will allow for mitigating stellar noise that limits our ability to detect Earth-like exoplanets with the RV method. This proposal aims to point the TESS and SONG telescopes at the same set of stars at the same time to deepen our understanding of stellar oscillations.


# Sector 084 targets observed (2 min: 12, 20 s: 2)
374860864,88.5275,-63.0859,3.75,G07036;G07051;20SECONDTARGET
198079199,64.1203,-59.3033,3.53,G07036;G07051;G07066;20SECONDTARGET
350619228,87.458,-56.1672,3.58,G07036;G07051;20SECONDTARGET
237914586,56.055,-64.8063,2.85,G07036;G07051;20SECONDTARGET

# Sector 091 targets observed (2 min: 2, 20 s: 2)
308210818,198.0155,-16.2006,4.56,G07051;G07031;20SECONDTARGET
37018039,231.049,-10.3234,4.48,G07051;G07031;20SECONDTARGET

# Sector 093 targets observed (2 min: 9, 20 s: 9)
362661163,266.0361,-51.8354,4.51,G07051;G07066;20SECONDTARGET
96745915,265.1004,-49.4168,4.35,G07051;20SECONDTARGET
287532010,124.6349,-76.919,3.67,G07036;G07031;G07051;20SECONDTARGET
141280255,82.9744,-76.339,4.23,G07036;G07051;20SECONDTARGET
141810080,92.5636,-74.7545,4.43,G07036;G07051;20SECONDTARGET
272086938,115.456,-72.606,3.08,G07036;G07051;20SECONDTARGET
300015239,107.1874,-70.4982,2.88,G07036;G07051;20SECONDTARGET
374860864,88.5275,-63.0859,3.75,G07036;G07051;20SECONDTARGET
198079199,64.1203,-59.3033,3.53,G07036;G07051;G07066;20SECONDTARGET

# Sector 094 targets observed (2 min: 13, 20 s: 13)
409891396,302.203,-66.1901,2.84,G07051;20SECONDTARGET
265488188,321.6122,-65.3605,3.72,G07051;20SECONDTARGET
351604689,310.0155,-60.5529,4.61,G07051;G07031;G07066;20SECONDTARGET
267211065,6.5066,-77.2519,2.22,G07051;20SECONDTARGET
317019578,336.1841,-72.2602,4.6,G07051;20SECONDTARGET
237914586,56.0551,-64.8063,2.85,G07036;G07051;20SECONDTARGET
141280255,82.9744,-76.339,4.23,G07036;G07051;20SECONDTARGET
141810080,92.5636,-74.7546,4.43,G07036;G07051;20SECONDTARGET
272086938,115.456,-72.606,3.08,G07036;G07051;20SECONDTARGET
300015239,107.1874,-70.4982,2.88,G07036;G07051;20SECONDTARGET
219420836,79.8425,-50.6043,4.97,G07051;G07031;20SECONDTARGET
350619228,87.458,-56.1672,3.58,G07036;G07051;20SECONDTARGET
374860864,88.5275,-63.0859,3.75,G07036;G07051;20SECONDTARGET

# Sector 095 targets observed (2 min: 13, 20 s: 13)
265488188,321.6122,-65.3605,3.72,G07051;20SECONDTARGET
425935521,5.0463,-64.8665,3.67,G07051;20SECONDTARGET
267211065,6.5068,-77.2519,2.22,G07051;20SECONDTARGET
317019578,336.1842,-72.2602,4.6,G07051;20SECONDTARGET
237914586,56.0551,-64.8063,2.85,G07036;G07051;20SECONDTARGET
262843771,52.3505,-62.9349,4.33,G07051;20SECONDTARGET
198079199,64.1203,-59.3034,3.53,G07036;G07051;G07066;20SECONDTARGET
141280255,82.9744,-76.339,4.23,G07036;G07051;20SECONDTARGET
141810080,92.5636,-74.7546,4.43,G07036;G07051;20SECONDTARGET
272086938,115.456,-72.606,3.08,G07036;G07051;20SECONDTARGET
300015239,107.1874,-70.4982,2.88,G07036;G07051;20SECONDTARGET
350619228,87.458,-56.1672,3.58,G07036;G07051;20SECONDTARGET
374860864,88.5276,-63.0859,3.75,G07036;G07051;20SECONDTARGET
