# TESS Program G07084

Title: TESS Legacy Catalog For White Dwarf Asteroseismology

PI: Bell, Keaton - Queens College (Cuny)

Type: SMALL

Summary: Cycle 7 presents the opportunity for TESS to re-observe 158 bright pulsating white dwarfs, and to observe 7 known and 77 likely pulsating white dwarfs for the first time. Rapid pulsations of white dwarf stars require 20-s cadence to ensure coverage below the Nyquist frequency. We aim to secure these essential data for white dwarf asteroseismology. New pulsation periods will add valuable new constraints on white dwarf interior structures. With Cycle 7 data, we will characterize the evolution of pulsation signals from space on timescales of up to 7 years, and we will detect new pulsational outbursts. We will publish the definitive catalog of white dwarf pulsation periods and mode characteristics as seen by TESS, which is expected to serve as a key reference for future asteroseismic studies.


# Sector 084 targets observed (2 min: 40, 20 s: 12)
230029140,292.2239,61.0971,16.46,G07084;G07036;G07092;20SECONDTARGET
264172524,294.5821,69.1535,16.55,G07084;G07036;G07092;20SECONDTARGET
229581336,270.3134,72.3136,16.18,G07084;G07036;G07092;20SECONDTARGET
441765413,261.6596,77.5598,16.39,G07084;G07036;20SECONDTARGET
1201194272,248.495,59.2021,17.16,G07084;G07036;G07092;20SECONDTARGET
1400857540,266.4744,60.7035,16.48,G07084;G07036;G07092;20SECONDTARGET
199666369,252.1086,59.0542,12.34,G07084;G07036;20SECONDTARGET
287150240,253.6192,63.6553,15.91,G07084;G07036;20SECONDTARGET
1551501112,273.4907,62.3364,17.3,G07084;G07092;20SECONDTARGET
1717573224,289.7181,58.6533,17.35,G07084;G07036;G07092;20SECONDTARGET
230384389,285.8339,60.5986,15.05,G07084;G07036;20SECONDTARGET
233718692,276.1847,60.0334,16.19,G07084;G07036;G07092;20SECONDTARGET

# Sector 087 targets observed (2 min: 27, 20 s: 26)
711461378,95.4779,-2.2678,17.29,G07084;G07092;20SECONDTARGET
711528730,96.2013,-1.6531,17.24,G07084;G07092;20SECONDTARGET
177334591,106.7549,-6.1933,16.52,G07084
754117078,110.7857,-6.128,17.28,G07084;G07092;20SECONDTARGET
756642162,101.1587,-0.764,17.61,G07084;G07092;20SECONDTARGET
756908623,108.3787,-1.4398,16.86,G07084;G07092;20SECONDTARGET
234701786,96.9035,4.8328,16.72,G07084;20SECONDTARGET
714278304,97.1701,6.229,17.49,G07084;20SECONDTARGET
715514159,96.4369,13.0782,17.58,G07084;20SECONDTARGET
717532310,96.3179,14.9327,17.51,G07084;G07092;20SECONDTARGET
65144290,107.8092,-25.3028,14.47,G07084;G07092;20SECONDTARGET
333432673,100.3152,-13.69,15.66,G07084;G07092;20SECONDTARGET
746059300,110.921,-18.0909,17.43,G07084;20SECONDTARGET
746074212,110.4981,-18.1089,17.0,G07084;G07092;20SECONDTARGET
34855316,96.4796,-14.2455,16.34,G07084;G07092;20SECONDTARGET
95332541,90.6875,-13.8509,15.79,G07084;20SECONDTARGET
21538626,86.0805,-40.1225,16.82,G07084;G07092;20SECONDTARGET
158068117,90.2198,-46.5116,16.19,G07084;20SECONDTARGET
350857733,90.0542,-54.9214,16.26,G07084;G07036;G07092;20SECONDTARGET
382303117,83.2785,-56.0647,15.96,G07084;G07036;G07169;20SECONDTARGET
55650407,73.8642,-62.9782,15.03,G07084;G07036;20SECONDTARGET
733030384,83.016,-65.6028,16.96,G07084;G07036;G07092;20SECONDTARGET
33717565,61.4026,-76.4743,16.51,G07084;G07036;20SECONDTARGET
675252793,62.5346,-74.9234,16.1,G07084;G07036;G07009;G07092;20SECONDTARGET
177172698,104.8245,-70.8317,16.87,G07084;G07036;G07092;20SECONDTARGET
804835539,133.7402,-76.7728,17.08,G07084;20SECONDTARGET
804899734,128.2432,-76.0178,17.46,G07084;G07092;20SECONDTARGET

# Sector 088 targets observed (2 min: 20, 20 s: 19)
803455126,125.7898,-1.8799,16.91,G07084;G07092;20SECONDTARGET
409732714,126.0137,-12.3285,14.82,G07084;G07092;20SECONDTARGET
803216522,127.174,-4.67,17.2,G07084;G07092;20SECONDTARGET
800126377,132.8677,6.0973,16.87,G07084;20SECONDTARGET
800153845,133.7801,6.5943,17.31,G07084;G07092;20SECONDTARGET
453210132,117.9226,11.3412,16.48,G07084;G07092;20SECONDTARGET
755492662,118.4054,5.0128,17.42,G07084;20SECONDTARGET
65144290,107.8092,-25.3028,14.47,G07084;G07092;20SECONDTARGET
775564285,116.558,-30.4316,16.04,G07084;G07092;20SECONDTARGET
118690168,134.3427,-22.7585,15.21,G07084;G07092;20SECONDTARGET
746059300,110.921,-18.0909,17.43,G07084;20SECONDTARGET
746074212,110.4981,-18.1089,17.0,G07084;G07092;20SECONDTARGET
769376568,114.2496,-43.2121,17.44,G07084;G07092;20SECONDTARGET
177172698,104.8245,-70.8317,16.87,G07084;G07036;G07092;20SECONDTARGET
350857733,90.0542,-54.9214,16.26,G07084;G07036;G07092
382303117,83.2785,-56.0647,15.96,G07084;G07036;G07169;20SECONDTARGET
733030384,83.016,-65.6028,16.96,G07084;G07036;G07092;20SECONDTARGET
55650407,73.8642,-62.9782,15.03,G07084;G07036;20SECONDTARGET
33717565,61.4027,-76.4743,16.51,G07084;G07036;20SECONDTARGET
724128806,84.3547,-80.7628,17.43,G07084;G07092;20SECONDTARGET
