TICID,RA,Dec,Tmag,Keywords
254045302,285.4123,-36.8909,7.24,G07140;G07141;20SECONDTARGET
375232307,283.0543,-62.1877,4.37,G07141;20SECONDTARGET
277103567,84.229,-66.5602,6.38,G07037;G07036;G07141;G07111
260640910,97.9929,-58.7538,5.81,G07037;G07036;G07141;20SECONDTARGET
279430029,105.0432,-56.9069,7.98,G07037;G07036;G07141;G07111
