TICID,RA,Dec,Tmag,Keywords
55295028,76.804,-61.805,9.33,G07036;G07037;G07141;G07111
308748912,122.1025,-63.8008,6.38,G07037;G07036;G07141;G07111
279430029,105.0432,-56.9069,7.98,G07037;G07036;G07141;G07111
