TICID,RA,Dec,Tmag,Keywords
447651236,254.4222,-63.2113,10.68,G07025;G07167
394816692,161.8145,-79.4685,14.35,G07025;G07167
376985426,76.9749,-79.8561,14.44,G07025;G07036;G07167
32068755,57.6572,-69.3492,14.89,G07036;G07167
177079697,103.3046,-66.9974,14.81,G07036;G07167
167554511,101.204,-60.4104,14.67,G07036;G07167
260369118,95.1605,-57.0938,14.87,G07036;G07167
293271581,98.9003,-62.6401,12.47,G07025;G07036;G07167
350765919,89.3022,-59.5904,14.18,G07025;G07036;G07167
149218683,82.2036,-60.5051,15.22,G07036;G07167
149497700,85.3516,-60.3515,13.51,G07036;G07167
350297825,83.7106,-58.028,14.13,G07036;G07167;20SECONDTARGET
382256692,82.3691,-58.9128,14.14,G07025;G07036;G07167
685125879,73.541,-59.4419,17.22,G07036;G07167;G07092;20SECONDTARGET
