TICID,RA,Dec,Tmag,Keywords
61538902,176.2991,-42.064,11.37,G08035;20SECONDTARGET
104024556,196.0437,-35.5495,10.32,G08035;20SECONDTARGET
398943781,190.6189,-30.6398,10.79,G08035;20SECONDTARGET
219698950,175.5252,-23.3548,11.51,G08035;20SECONDTARGET
248075138,192.981,-42.0736,11.37,G08035;20SECONDTARGET
15445551,185.3247,-52.8408,10.35,G08035;20SECONDTARGET
21113347,186.7873,-48.9784,11.4,G08035;20SECONDTARGET
272213425,180.165,-45.7995,11.11,G08035;20SECONDTARGET
261867566,227.6584,-71.3618,10.57,G08035;20SECONDTARGET
306648160,265.7603,-65.0083,10.66,G08035;20SECONDTARGET
