,TIC ID,RA,Dec,in_cycle8
0,2876,218.820371055169,-25.0559414034531,False
1,4711,218.918776207751,-26.1792848137514,False
2,17361,219.336320851284,-24.9584812423915,False
3,23111,219.540063594982,-27.4183343377898,False
4,47667,220.409376294533,-26.7907486204403,False
5,52357,220.488199888649,-28.065764790688,False
6,53045,220.504034353875,-28.943009940669,False
7,55344,220.60762314569,-27.7872920448299,False
8,56884,220.652777051645,-25.5539085861407,False
9,58487,220.806463743179,-24.9977514456696,False
10,66094,221.073831911343,-24.1287000652207,False
11,82066,221.500344308437,-25.4431813678012,False
12,93155,221.843982982861,-25.624267318249,False
13,99010,221.989813573501,-26.6461653150213,False
14,99433,221.9366965747,-26.0875072262885,False
15,110376,222.32810308397,-24.2514682738822,False
16,122797,222.572089425607,-27.9603718110514,False
17,128456,222.783065088461,-24.8980814321976,False
18,152762,223.586298522476,-28.3481981496285,False
19,155455,223.58386972068,-24.6422082138715,False
20,160023,223.71847425619,-29.1520856104717,False
21,245832,278.605554093577,-19.784680754033,False
22,354002,278.848788869248,-19.2685334024978,False
23,368759,278.838882168251,-20.8404478232626,False
24,504328,279.196498920717,-23.7633892673932,False
25,537490,279.190620342268,-19.8965361670579,False
26,577858,279.279661613279,-19.2093971821474,False
27,579496,279.365561646248,-19.4246267927592,False
28,589826,71.6072899712712,-28.0874459670825,True
29,600561,300.202554884263,-4.31157056231942,False
30,617248,203.25045956438,-7.19473298547241,False
31,617994,203.241970104625,-10.1650016970277,False
32,681678,73.8757542683808,-25.7277569329156,True
33,707326,204.67219379238,-11.4752130280106,False
34,743613,205.403207012315,-8.70298165382981,False
35,744082,205.344604206388,-10.4525422427627,False
36,767526,74.638422640085,-28.8877407393562,True
37,808243,300.737797655071,-0.0468063195962647,False
38,827160,123.889750399579,-13.6242645118708,False
39,842202,279.476777989495,-21.3977266103089,False
40,857186,327.719280232517,-8.63569994095675,False
41,857309,327.647736356015,-8.98255194973669,False
42,909930,328.038724987292,-8.41953597428841,False
43,921986,328.400161052349,-10.3116188684693,False
44,990903,165.45697904273,-2.48458377280664,False
45,992137,165.653299767928,-3.51261452852822,False
46,996783,329.103726027103,-9.58585930239793,False
47,1003831,130.295164748118,-16.036279996188,True
48,1008153,165.810583958251,-0.752340879781244,False
49,1008348,165.902467521496,-0.0008291207772044,False
50,1008931,165.909072916784,-3.2043135866638,False
51,1018843,130.93245219794,-26.9807794643916,False
52,1030004,33.8679634528549,-9.4665266777675,True
53,1033135,130.430566294226,-15.94338129762,True
54,1034389,34.2460134094812,-6.42211706008371,True
55,1038216,130.540884828084,-11.9660049624838,True
56,1042432,153.929131277142,28.35517767713,False
57,1042770,154.060124885482,29.310474774172,False
58,1042868,154.117009293204,28.6824820382996,False
59,1043359,154.173988436364,25.3707155524119,False
60,1066957,154.543809010984,27.4154803668638,False
61,1095312,154.752941876077,24.7121379511693,False
62,1098494,35.6768539674981,-10.2022945101592,True
63,1103432,130.581456698406,-17.1894351086033,True
64,1115220,155.597902188116,25.4995826653276,False
65,1122079,168.926318501723,28.7810285562619,False
66,1129033,37.1551149287457,-7.06066074696713,False
67,1133072,131.08590702365,-28.0765731074219,False
68,1167538,70.9975885105724,-31.9065009595025,True
69,1191321,135.937501236206,-17.4966080481345,True
70,1218962,71.4569404830369,-34.0050014492252,True
71,1228170,137.185511102156,-16.2773219465359,True
72,1232485,137.297977370094,-12.3577051829773,True
73,1233421,71.9565715281576,-30.0203713043739,True
74,1251436,72.2990021055835,-34.3118355596132,True
75,1260235,131.407585971309,-26.5030405412237,True
76,1261860,131.455314173249,-25.3880965579527,True
77,1267523,131.541983119005,-26.6128025001006,True
78,1283179,279.61053868671,-23.1029744464712,False
79,1286643,279.627975338919,-23.5048954197373,False
80,1308855,72.8675601394082,-34.9062778582407,True
81,1344656,131.651385466134,-29.7281108360942,False
82,1359495,139.943262890155,-11.9748493547698,True
83,1398498,74.4360697961721,-33.0689419439705,True
84,1399933,140.231240620931,-15.6178254382304,True
85,1441682,74.8300462734451,-32.2391833158083,True
86,1446147,146.808606581211,-17.2058988175221,True
87,1449640,75.1716140694779,-35.2026105321488,True
88,1449756,75.1748721429611,-34.8158951655001,True
89,1486007,287.43242261918,-27.1144137764941,False
90,1520948,75.5311296643115,-31.348979100962,True
91,1521078,75.595019206251,-31.7713339192532,True
92,1525480,156.527799693715,-17.2626542174817,True
93,1528696,75.7954286496495,-30.3993664549279,True
94,1530056,156.522609166107,-16.8362886033826,True
95,1544160,279.722506277489,-21.0518726441936,False
96,1564504,132.060929586427,-28.6387993608355,False
97,1604036,131.336525261133,-2.60105366476911,True
98,1604040,131.335232965163,-2.60118911970301,True
99,1615151,273.65302733083,-2.60277672033576,False
100,1627306,132.509296835578,-29.46300002077,False
101,1628071,188.017609005783,-16.1959945963221,True
102,1629931,188.149994360612,-13.8591055376687,False
103,1647071,131.510314771212,-2.04865353584809,True
104,1652548,188.392744904375,-12.8302028096717,False
105,1678825,131.812436892832,-1.89703905648417,True
106,1712781,155.860326241399,-4.07403248234425,False
107,1712865,155.886071418106,-3.64285566326444,False
108,1713457,155.868205798028,-0.902243656190521,False
109,1738861,132.633011285676,-27.709841261315,True
110,1740238,132.590154381611,-28.6176186501272,True
111,1776724,287.828400391987,-29.5022938598225,False
112,1818589,132.907014194707,-26.2062481999458,True
113,1828620,78.6643119162867,31.4019260242184,False
114,1840666,78.8516416001023,32.6876010693725,False
115,1942969,78.9322784555296,34.0922727956051,False
116,1950736,79.0438035955502,30.5853812821857,False
