TICID,RA,Dec,Tmag,Keywords
14717198,174.7521,-24.7228,5.62,
14717912,174.7926,-25.3488,14.31,
167839774,162.9113,-22.0716,7.21,
168381887,166.3314,-27.2937,4.52,
168383678,166.3918,-25.0192,9.25,
168384614,166.4901,-27.288,5.76,
181804752,165.6899,-16.4066,13.56,G07157;G07066;20SECONDTARGET
188087204,161.6152,-25.2044,16.81,G07084;G07092;20SECONDTARGET
188087958,161.6376,-24.5873,11.77,G07099;20SECONDTARGET
188088554,161.6767,-26.0478,5.79,
188242805,162.9071,-24.294,15.36,
20319492,167.1827,-28.0808,5.41,G07089;20SECONDTARGET
20324921,167.3772,-26.0191,16.96,G07009;G07092;20SECONDTARGET
20325431,167.3745,-24.6018,8.34,
20325775,167.4723,-24.2492,12.01,
20416870,168.0071,-26.1371,6.35,
20417152,167.9908,-26.806,5.63,
20427136,168.3019,-26.465,7.0,
20448010,168.5918,-24.3582,12.87,
20489284,168.6582,-27.5418,9.56,
20500669,169.0769,-25.8243,12.44,
20501510,169.1529,-27.961,11.14,
219126357,170.8388,-18.7802,4.66,
219187441,170.9708,-19.9086,4.88,
219187616,170.9842,-18.3639,10.8,
219246754,171.37,-19.0326,12.5,
219314537,171.8517,-19.3548,16.45,
219382963,172.1771,-18.9722,15.65,
219442838,172.2967,-22.5624,16.45,G07084;G07009;G07092;20SECONDTARGET
219512715,174.6954,-21.0988,14.12,
219641382,175.2126,-22.9128,12.88,
219698955,175.4326,-23.2145,12.59,
219701594,175.5146,-20.2946,5.37,
219702203,175.4328,-22.5358,15.45,
305685377,175.7181,-21.5739,14.28,
322778114,169.1915,-28.8441,16.16,
322779768,169.3671,-26.7015,16.83,G07092;20SECONDTARGET
363347767,163.771,-26.8104,15.83,
363350752,163.8991,-26.3519,7.96,
364936760,169.652,-24.3432,5.64,
375563752,170.0768,-28.3322,5.72,
393419874,164.6823,-25.9047,11.87,
410363793,166.4618,-20.4094,7.58,
410407964,166.8637,-19.2918,8.67,G07066;20SECONDTARGET
410427235,167.3678,-20.0754,11.91,
410427329,167.2945,-20.415,15.6,
413395017,176.8509,-20.6723,19.26,
