TICID,RA,Dec,Tmag,Keywords
841604270,151.7094,-12.9873,19.0,G07092;20SECONDTARGET
841604888,152.1504,-12.6301,18.7,G07092;20SECONDTARGET
841627400,153.1798,-10.7271,18.13,G07092;20SECONDTARGET
841637004,154.1495,-11.1361,18.49,G07092;20SECONDTARGET
874662137,158.0702,-24.0952,18.67,G07092;20SECONDTARGET
874664241,159.2684,-23.6577,17.69,G07092;20SECONDTARGET
874737569,154.8633,-22.9653,18.4,G07092;20SECONDTARGET
874738229,155.0084,-22.8043,18.16,G07092;20SECONDTARGET
874767806,158.903,-21.7937,18.81,G07092;20SECONDTARGET
874785328,156.0904,-21.0104,18.95,G07092;20SECONDTARGET
874785606,157.6118,-21.8152,18.94,G07092;20SECONDTARGET
875699952,151.2252,-21.5263,18.92,G07092;20SECONDTARGET
875699953,151.234,-21.5259,18.87,G07092;20SECONDTARGET
875708366,151.6879,-21.7396,18.89,G07092;20SECONDTARGET
875713044,152.1192,-20.9486,18.48,G07092;20SECONDTARGET
875714120,152.8102,-20.3423,18.95,G07092;20SECONDTARGET
875724122,154.9554,-21.105,18.04,G07092;20SECONDTARGET
875727585,155.1841,-20.4793,18.46,G07092;20SECONDTARGET
875729236,154.0822,-20.7797,18.56,G07092;20SECONDTARGET
875729671,153.5003,-20.94,18.5,G07092;20SECONDTARGET
875729715,153.6683,-20.8196,18.73,G07092;20SECONDTARGET
875736605,155.8973,-19.9306,18.93,G07092;20SECONDTARGET
875737804,156.9341,-19.8827,18.77,G07092;20SECONDTARGET
875764083,155.6139,-17.833,18.69,G07092;20SECONDTARGET
875768802,154.3936,-17.6076,18.64,G07092;20SECONDTARGET
875769341,154.6906,-17.4035,18.84,G07092;20SECONDTARGET
875785355,150.4492,-20.2783,18.84,G07092;20SECONDTARGET
875790315,150.6225,-19.4517,18.47,G07092;20SECONDTARGET
875790341,150.5488,-19.427,17.72,G07092;20SECONDTARGET
875814230,149.2108,-18.9512,18.97,G07092;20SECONDTARGET
875816411,149.7089,-18.7111,18.86,G07092;20SECONDTARGET
875828379,151.5135,-18.8486,18.14,G07092;20SECONDTARGET
875829775,152.8094,-18.4439,18.81,G07092;20SECONDTARGET
875830837,152.249,-18.3894,18.28,G07092;20SECONDTARGET
875835804,152.0351,-17.8483,18.55,G07092;20SECONDTARGET
875836577,151.9966,-17.6872,18.52,G07092;20SECONDTARGET
875850017,150.399,-17.6573,18.86,G07092;20SECONDTARGET
875852879,151.0752,-17.3048,18.83,G07092;20SECONDTARGET
875861722,151.7817,-16.8192,18.59,G07092;20SECONDTARGET
875867679,151.1787,-15.9806,18.44,G07092;20SECONDTARGET
875871332,152.2814,-14.8558,18.33,G07092;20SECONDTARGET
876137647,150.7877,-14.9467,18.23,G07092;20SECONDTARGET
902091468,161.0061,-21.0898,17.44,G07092;20SECONDTARGET
902104837,161.1973,-19.34,18.21,G07092;20SECONDTARGET
902107745,161.3989,-19.1167,15.04,G07092;20SECONDTARGET
902108573,161.8885,-18.6281,17.84,G07092;20SECONDTARGET
902111497,161.1321,-18.7191,18.75,G07092;20SECONDTARGET
902139421,162.517,-17.3542,17.51,G07092;20SECONDTARGET
902604891,160.065,-15.504,18.61,G07092;20SECONDTARGET
902610068,162.091,-14.7495,18.58,G07092;20SECONDTARGET
902615398,161.4756,-13.6416,17.64,G07092;20SECONDTARGET
902620372,160.2388,-12.9161,17.82,G07092;20SECONDTARGET
