TICID,RA,Dec,Tmag,Keywords
439867639,43.3163,0.0523,13.13,G09142;G09123;G09010;20SECONDTARGET
1528696,75.7953,-30.3995,13.17,G09058;G09142;20SECONDTARGET
178879588,67.4186,-28.1972,13.26,G09058;G09142;20SECONDTARGET
33521996,88.1468,-19.0316,13.34,G09142;G09031;20SECONDTARGET
95057860,90.4748,-13.4614,13.5,G09142;G09031;20SECONDTARGET
124778445,94.4447,-35.7063,13.98,G09142;20SECONDTARGET
32499655,84.3267,-27.9726,13.54,G09142;G09031;20SECONDTARGET
37348844,91.8723,-25.5949,13.61,G09142;G09010;20SECONDTARGET
52689469,101.3948,-33.8817,13.64,G09142;20SECONDTARGET
98283926,108.4524,-33.4374,13.15,G09058;G09142;20SECONDTARGET
218795833,124.6066,-19.6627,14.44,G09142;G09031;20SECONDTARGET
