TICID,RA,Dec,Tmag,Keywords
115013365,315.5854,-41.7506,15.95,G07084;G07092;20SECONDTARGET
389348640,310.955,-39.0575,13.78,G07084;G07092;20SECONDTARGET
63281499,337.243,-31.0988,15.64,G07084;G07092;20SECONDTARGET
53851007,327.9155,-28.949,16.11,G07084;20SECONDTARGET
1992749947,309.4913,-26.6314,17.76,G07084;G07092;20SECONDTARGET
2026445610,321.0885,-63.1702,17.32,G07084;G07092;20SECONDTARGET
238815671,328.0505,-63.545,16.15,G07084;20SECONDTARGET
2055170284,351.0443,-59.4731,16.84,G07084;G07020;G07092;20SECONDTARGET
143981856,335.8492,-48.3841,16.78,G07084;20SECONDTARGET
2055504010,341.4782,-45.0173,16.87,G07084;G07092;20SECONDTARGET
1989122424,319.41,-55.4669,17.22,G07084;G07092;20SECONDTARGET
2027206794,327.3649,-51.9746,17.11,G07084;G07092;20SECONDTARGET
2027290173,325.3232,-49.4078,17.11,G07084
79353860,319.5643,-53.2236,15.93,G07084;G07092;20SECONDTARGET
2054690064,345.1242,-73.2408,16.63,G07084;20SECONDTARGET
325341811,337.6781,-75.245,15.49,G07084;G07009;G07092;20SECONDTARGET
33717565,61.4027,-76.4743,16.51,G07084;G07036;20SECONDTARGET
612132869,5.0507,-81.9695,17.8,G07084;G07092
675252793,62.5347,-74.9234,16.1,G07084;G07036;G07009;G07092
724128806,84.3548,-80.7628,17.43,G07084;G07092;20SECONDTARGET
220555122,44.0886,-63.4779,15.93,G07084;G07092;20SECONDTARGET
31674330,47.63,-68.6017,11.58,G07084;20SECONDTARGET
631238061,36.4923,-69.3406,16.67,G07084;G07092;20SECONDTARGET
631344957,33.3677,-64.6197,17.03,G07084;G07092;20SECONDTARGET
55650407,73.8643,-62.9782,15.03,G07084;G07036;20SECONDTARGET
733030384,83.016,-65.6028,16.96,G07084;G07036;G07092;20SECONDTARGET
177172698,104.8245,-70.8317,16.87,G07084;G07036;G07092;20SECONDTARGET
350857733,90.0542,-54.9214,16.26,G07084;G07036;G07092
382303117,83.2785,-56.0647,15.96,G07084;G07036;G07169;20SECONDTARGET
