TICID,RA,Dec,Tmag,Keywords
293435336,26.6331,2.7003,9.03,G08035;20SECONDTARGET
422655579,29.2635,0.7588,10.16,G08035;20SECONDTARGET
122612091,41.0401,-30.1691,10.46,G08035;20SECONDTARGET
209459275,46.8185,-31.1632,10.57,G08035;20SECONDTARGET
268766053,31.9091,-20.6618,11.76,G08035;20SECONDTARGET
166836920,39.8977,-50.0083,8.93,G08035;20SECONDTARGET
388104525,55.9338,-65.1937,11.6,G08035;20SECONDTARGET
152476657,62.6161,-45.8983,10.58,G08035;20SECONDTARGET
198008005,60.1999,-54.5929,10.64,G08035;20SECONDTARGET
149603524,87.1397,-63.9883,9.71,G08035;20SECONDTARGET
179317684,79.7683,-71.8955,10.87,G08035;20SECONDTARGET
38846515,68.9599,-64.027,10.32,G08035;20SECONDTARGET
271893367,112.9653,-73.606,10.9,G08035;20SECONDTARGET
176956893,100.8331,-66.9476,11.41,G08035;20SECONDTARGET
