TICID,RA,Dec,Tmag,Keywords
107020009,182.8764,-35.3646,15.79,
107145096,183.5505,-35.4091,12.94,
134754537,182.6413,-37.8706,5.91,
134831706,183.4321,-38.1331,11.92,
134866849,183.626,-36.0468,8.29,
134871830,183.8736,-41.9146,5.36,
134873712,183.8773,-39.812,9.62,G08046;G08158;G08137;20SECONDTARGET
134903083,183.9285,-36.5665,16.23,
134907672,184.06,-41.2152,11.59,
134970785,184.3541,-39.5811,13.38,
134971152,184.3944,-40.0045,5.84,
134976537,184.4962,-37.5789,13.59,G08046;G08137;20SECONDTARGET
134977282,184.4426,-36.5884,13.38,
135079202,185.0183,-37.8044,7.15,
135097399,185.2326,-38.3119,9.36,G08046;20SECONDTARGET
135159743,185.6149,-38.24,13.78,
135165545,185.6883,-39.1788,6.12,
135173498,185.6296,-36.7696,12.05,
135225667,185.9359,-38.9115,5.88,
135246293,186.1857,-41.3848,5.25,
135249824,186.2514,-40.5167,12.34,
135371083,187.0934,-39.0412,5.53,G08046;20SECONDTARGET
135510377,187.997,-41.0553,5.92,
141906986,177.6577,-35.604,15.98,
141939869,177.9262,-33.2213,12.82,
142061424,178.8291,-32.9187,11.57,
142098919,179.1748,-32.2682,7.06,
142116609,179.5145,-31.6512,6.66,
142173958,180.1141,-34.0938,11.61,G08137;G08158;20SECONDTARGET
142209224,180.3516,-31.9908,13.0,G08036;20SECONDTARGET
142211778,180.5462,-35.5486,13.91,G08047;20SECONDTARGET
142264088,180.6577,-33.478,12.58,G08046;G08158;G08137;20SECONDTARGET
142312635,181.1435,-31.1877,7.01,
142323008,181.2015,-35.2413,17.14,G08002;G08062;20SECONDTARGET
142324190,181.2819,-34.7394,16.3,
142324512,181.2997,-34.209,5.54,
142389148,181.7411,-35.0165,11.8,
142390356,181.9292,-34.8263,11.84,
142391477,181.8634,-32.7836,10.33,G08046;G08137;20SECONDTARGET
142392159,181.8961,-31.4114,6.19,
144219989,188.9387,-41.0219,4.92,
152597296,172.4255,-38.4569,5.87,
152597840,172.5556,-37.7645,16.61,
157228806,176.1856,-32.8819,11.02,
157230659,176.2499,-35.6405,11.66,
157266693,176.6282,-33.8601,13.16,G08047;20SECONDTARGET
157321602,176.7797,-35.9071,5.37,
157323544,176.7925,-32.3585,12.4,
157367048,177.332,-33.2176,15.61,
165290320,178.9788,-39.6896,5.27,
165295819,179.3063,-36.088,10.11,G08137;20SECONDTARGET
165323000,179.4292,-37.6507,5.98,
165423175,180.07,-40.6223,15.69,
170459141,184.3734,-34.5051,5.94,
170460782,184.5841,-34.5004,14.82,
170497144,184.7825,-35.0925,15.78,
170654459,185.8972,-35.4127,5.4,G08046;20SECONDTARGET
181020271,173.2125,-36.2094,6.13,
181059947,173.1996,-40.4358,3.92,
181113288,174.0399,-41.8105,13.35,G08137;20SECONDTARGET
181113291,174.0389,-41.8099,13.49,G08137;20SECONDTARGET
181150811,174.0466,-37.0658,7.42,
181160602,174.3713,-36.7268,7.1,
181163751,174.3859,-39.3589,4.57,
181240055,174.9933,-38.1085,5.79,
181241150,175.007,-39.4448,12.69,
21736171,181.3946,-42.1778,12.82,
21949273,181.9064,-42.4148,9.98,
22511248,184.5303,-42.2035,12.06,
22511253,184.5272,-42.2007,12.46,
275596003,179.1647,-43.5566,12.64,G08137;20SECONDTARGET
306925929,178.5576,-37.6002,7.54,
306996173,178.6046,-37.7485,5.95,
306996324,178.5789,-37.5538,9.74,G08145;20SECONDTARGET
345135732,177.1004,-37.4804,9.8,G08158;G08137;20SECONDTARGET
345178165,177.3291,-38.6657,15.53,
389301327,183.8927,-31.6902,5.39,
397361078,175.3317,-43.0956,5.55,G08046;G08101;20SECONDTARGET
405148007,180.918,-42.4349,4.75,G08195;20SECONDTARGET
448586269,174.9872,-33.4501,5.94,
448641178,175.0529,-34.7447,4.76,
448695689,182.0804,-34.6749,5.83,
448744126,182.3239,-33.264,11.43,
448744127,182.3285,-33.2613,12.57,
454012528,175.3441,-36.4073,10.22,
454015615,175.3609,-41.0192,6.29,
454016233,175.2946,-41.822,9.61,G08137;20SECONDTARGET
454016251,175.3199,-41.8395,9.82,G08137;20SECONDTARGET
454043454,175.8631,-37.1903,4.68,
454069765,176.2402,-38.1397,12.11,
454072318,176.2904,-41.5358,11.11,G08119;20SECONDTARGET
454073096,176.3865,-41.4189,15.99,
454082369,176.6148,-40.4974,4.27,G08195;20SECONDTARGET
461200033,181.5539,-38.6758,5.63,
461203071,181.6575,-37.8601,5.75,
