TICID,RA,Dec,Tmag,Keywords
170009171,121.0961,-10.3242,7.8,G07031
178479222,124.1095,-3.226,6.75,G07031
178587839,124.3882,-2.7439,8.27,G07031
18931582,123.026,-11.8705,8.48,G07031
25871805,119.2698,-2.5363,8.37,G07031
25940013,119.2235,-0.8129,8.0,G07031
280363288,114.9347,1.2858,8.08,G07031
36019845,118.0012,-10.0841,9.4,G07031
36092432,118.2278,-10.3867,9.49,G07031
36426593,118.7421,-9.7685,8.58,G07031
65952641,114.6147,-5.7895,8.12,G07031
66098435,114.9826,-4.8119,7.66,G07031
66225439,115.2105,-0.1163,8.58,G07031
68426697,117.0192,-3.9524,8.45,G07031
72980496,120.1206,-4.8798,6.8,G07031
73191172,120.6679,-2.3972,7.22,G07031
73344225,121.3097,-4.5236,7.99,G07031
114820391,132.0792,-13.3593,9.06,G07031
114822046,132.2631,-12.7354,7.81,G07031
13348167,131.6474,-10.2266,8.3,G07031
1604036,131.3365,-2.6011,6.35,G07031
168976468,126.152,-4.7174,5.59,G07031;20SECONDTARGET
19900248,125.7493,-11.4998,8.65,G07031
20038115,136.8662,-7.9722,9.27,G07031
289596375,131.7955,-13.063,7.83,G07031
47250984,134.9598,-6.3528,9.39,G07031
47331948,135.1663,-11.1441,8.87,G07031
50756113,126.6304,-8.0917,7.69,G07031
54708239,130.1821,-11.9272,6.96,G07031
7846610,132.8963,-5.9699,7.49,G07031
819114,134.8801,-4.5702,7.79,G07031
95728875,131.2198,-8.2576,7.14,G07031
95840695,135.9075,-11.9159,8.31,G07031
142743862,137.7693,-1.5495,7.7,G07031
149789934,130.7867,-1.4599,9.33,G07031
149844194,135.3981,-0.0014,7.41,G07031
262746042,138.8303,5.515,8.31,G07031
270511662,135.883,3.7625,8.31,G07031
270650208,136.8197,2.5817,6.24,G07031
270693709,137.4953,5.4259,9.65,G07031
283767839,134.4543,7.9642,8.22,G07031
290476605,139.1659,0.7289,6.35,G07031
290488468,139.1332,5.4044,8.13,G07031
290513811,139.4472,3.8918,9.49,G07031
312023399,139.4818,7.0989,9.61,G07031
323639134,136.7457,8.3288,7.41,G07031
323641347,136.9066,7.4847,7.62,G07031
437037410,132.8774,7.0067,9.39,G07031
443998640,131.2557,6.3702,8.36,G07031
444034955,133.4905,8.4217,7.16,G07031
62627336,136.591,-2.9297,7.82,G07031
62627455,136.6244,-2.5994,6.75,G07031
266740119,119.4891,3.8621,7.9,G07031
271271155,119.8552,9.9359,7.41,G07031
320539021,120.0777,6.1275,9.43,G07031
321229558,119.8495,5.5221,7.88,G07031
334415400,122.9634,8.6707,8.36,G07031
334515275,123.3774,11.7006,8.7,G07031
366409831,126.3962,10.4893,8.82,G07031
366497914,127.1387,6.9643,6.74,G07031
388015492,120.3061,8.3761,6.95,G07031
388018867,120.4614,8.9142,5.69,G07031;20SECONDTARGET
427536553,117.1677,9.4738,8.1,G07031
429147287,123.4387,8.6428,8.34,G07031
452958402,122.1874,5.0673,8.22,G07031
453008156,122.9565,4.2749,7.2,G07031
453025532,123.1144,3.7955,9.31,G07031
453207078,116.8594,8.4419,8.59,G07031
455207525,125.3172,1.0627,6.79,G07031
455245439,126.1479,2.7664,8.41,G07031
458585431,124.1903,7.372,7.13,G07031
458624708,125.0556,9.1906,8.99,G07031
106894218,110.4236,-25.9008,8.6,G07031
110572938,114.3452,-25.7461,9.35,G07031
111235557,110.3909,-30.1041,8.3,G07031
113844912,113.7892,-31.5004,7.73,G07031
126206007,115.7666,-29.0599,8.41,G07031
126436062,115.8524,-29.3592,7.64,G07031
126929782,116.5569,-28.4424,8.93,G07031
127579341,117.2136,-26.0077,8.2,G07031
128569805,118.0744,-25.5095,9.09,G07031
150151885,117.1769,-30.2534,6.9,G07031
63475995,105.177,-28.4899,5.84,G07031;20SECONDTARGET
63661147,105.4513,-27.7021,7.58,G07031
64608449,107.1403,-28.6129,7.01,G07031
97273469,106.185,-31.9454,6.91,G07031
97646800,107.0461,-31.4282,6.61,G07031
98546277,109.1152,-31.401,9.21,G07031
1342846,131.4899,-29.1501,9.18,G07031
144361392,121.2635,-33.5912,6.18,G07031
145867411,123.2294,-35.3926,7.9,G07031
145979593,123.387,-33.3,6.78,G07031
146035532,123.3375,-35.5924,9.92,G07031
146772271,124.3134,-35.5018,8.06,G07031
153274018,120.6454,-27.3264,8.99,G07031
154231880,121.6605,-28.8431,9.64,G07031
155124623,122.947,-27.1428,9.47,G07031
181298422,130.8669,-37.086,8.91,G07031
184912380,128.1785,-37.4693,7.78,G07031
185978221,131.2398,-33.6084,8.57,G07031
1861139,132.9509,-29.4645,7.86,G07031
186239331,132.0099,-31.781,9.63,G07031
186313981,132.2656,-30.2201,7.79,G07031
393995001,128.5235,-30.3033,9.26,G07031
419152938,120.7757,-35.0828,7.63,G07031
419366352,120.9569,-35.1785,9.78,G07031
55412506,125.9215,-30.0896,8.95,G07031
55511261,126.0008,-33.4207,8.64,G07031
55638992,126.0786,-32.1459,9.02,G07031
55739880,126.2705,-32.6023,8.17,G07031
56263068,126.8072,-33.4576,8.43,G07031
114823536,132.284,-14.6622,9.51,G07031
118430756,129.7121,-22.5746,9.89,G07031
118602477,130.1322,-19.1986,8.31,G07031
125292504,123.4622,-17.1635,8.57,G07031
143378569,125.074,-21.9788,9.65,G07031
143824501,126.2194,-23.6887,6.5,G07031
176489497,131.9371,-21.9011,8.78,G07031
218886777,124.6944,-22.1347,7.99,G07009;G07031
258055989,126.7284,-24.7523,9.22,G07031
283305355,128.1821,-24.3103,8.12,G07031
289477673,131.2859,-16.0495,9.03,G07031
289541577,131.5179,-17.2953,8.45,G07031
293980427,122.3781,-21.9611,9.65,G07031
296446405,125.5003,-13.7682,7.14,G07031
307765919,124.917,-15.5106,7.75,G07031
347448218,133.421,-15.3794,8.65,G07031
348681229,133.9187,-15.5183,8.64,G07031
348791081,134.4665,-17.3135,8.36,G07031
410205387,133.7441,-18.812,6.58,G07031
415538651,131.4594,-22.7468,8.65,G07031
437193207,123.6381,-21.5766,9.74,G07031
10920232,119.8162,-19.4636,8.63,G07031
140623098,116.2178,-18.7238,9.09,G07031
140871976,116.5759,-19.4567,9.06,G07031
141260492,117.0497,-18.891,9.09,G07031
141595550,117.4384,-20.2085,6.01,G07031
141988284,117.9554,-20.7209,6.36,G07031
231419689,115.3158,-20.3664,8.6,G07031
259214713,113.5543,-16.1868,6.15,G07031
289002903,114.9401,-12.5139,7.68,G07031
346884819,117.3213,-17.1014,9.17,G07031
346889553,117.3909,-16.861,7.56,G07031
347355277,117.9204,-12.8195,5.98,G07031;20SECONDTARGET
348802343,113.8121,-18.9047,8.06,G07031
36023104,118.0282,-11.8515,8.45,G07031
386070356,111.5146,-15.6666,6.31,G07031
405164570,113.8351,-14.0481,7.07,G07031
409200417,109.5635,-17.4087,8.31,G07031
409319605,109.8686,-16.3962,5.38,G07031;20SECONDTARGET
422072293,122.5116,-15.7005,8.23,G07031
431850670,120.1287,-19.3398,9.4,G07031
49836408,111.8039,-16.5009,9.35,G07031
50276717,112.3352,-17.345,6.57,G07031
55862875,112.7771,-17.7059,8.4,G07031
56287123,119.1653,-16.5318,6.7,G07031
7561893,114.3027,-11.4582,8.46,G07031
123477856,115.0337,-44.4298,6.96,G07031
123699670,115.7371,-45.177,4.36,G07051;G07031;20SECONDTARGET
123940627,116.517,-47.0072,9.18,G07031
130792766,116.9706,-40.337,8.76,G07031
131341343,117.9681,-38.9107,7.82,G07031
131847036,118.8243,-41.8292,7.08,G07031
132632233,119.7971,-37.9787,8.84,G07031
132639799,119.8132,-39.3897,8.71,G07031
134737814,122.6433,-39.6642,7.33,G07031
139739221,126.7189,-46.8096,8.78,G07031
140006710,127.2581,-44.2391,7.83,G07031
140656499,128.4136,-47.5085,8.63,G07031
143333105,117.5808,-44.5121,9.19,G07031
180842834,129.7204,-40.9081,8.82,G07031
181272668,130.8176,-39.1375,7.3,G07031
183513288,125.5341,-40.9912,7.11,G07031;G07031
238285409,120.0197,-48.1014,8.14,G07031
238666031,122.7412,-48.501,6.98,G07031
285214837,119.9765,-46.1688,7.32,G07031
80472204,121.7033,-43.8951,8.12,G07031
80658396,122.0193,-44.1003,8.22,G07031
80806861,122.2076,-44.7393,7.44,G07031
81543065,123.2838,-44.2786,9.53,G07031
81951833,123.8045,-43.2406,9.61,G07031
82470990,124.4823,-42.138,9.0,G07031
89863262,127.4089,-49.3969,8.54,G07031
92662319,128.8093,-47.9594,7.74,G07031
